2005,Solar Inverter,"10/516,646",Dc-dc converter,Eindhoven,N/A,Netherlands,"http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=3&f=G&l=50&co1=AND&d=PG01&s1=""516,646"".APN.&OS=APN/""516,646""&RS=APN/""516,646"""
2005,Solar Mounting/Rack,"10/743,683",Integrated solar energy roofing construction panel,"(Malibu, CA)",CA,USA,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220050133082%22.PGNR.&OS=DN/20050133082&RS=DN/20050133082
2005,Solar Inverter,"10/748,587",Transformerless power conversion in an inverter for a photovoltaic system ,"Schenectady, NY",NY,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220050139259%22.PGNR.&OS=DN/20050139259&RS=DN/20050139259
2005,Solar Mounting/Rack,"10/835,737",Easy-to-assemble building structure with a mountable frame for supporting solar panels ,"(Pleasanton, CA)",CA,USA,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220050241246%22.PGNR.&OS=DN/20050241246&RS=DN/20050241246
2006,Solar Mounting/Rack,"10/855,254",Mechanism for mounting solar modules,"Berkeley, CA",CA,USA,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220060086382%22.PGNR.&OS=DN/20060086382&RS=DN/20060086382
2005,Solar Mounting/Rack,"10/864,711",Indoor photovoltaic energy system,"(Chico, CA)",CA,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220050274407%22.PGNR.&OS=DN/20050274407&RS=DN/20050274407
2005,Solar Mounting/Rack,"10/896,755",Support structure for mounting a solar panel,St. Laurent,N/A,Canada,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220050056742%22.PGNR.&OS=DN/20050056742&RS=DN/20050056742
2006,Solar Mounting/Rack,"10/931,183",System and method for mounting photovoltaic cells,"San Diego, CA",CA,USA,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220060042683%22.PGNR.&OS=DN/20060042683&RS=DN/20060042683
2005,Solar Mounting/Rack,"11/011,674",Photovoltaic module mounting unit and system,"Warrenville, IL",IL,USA,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220050161074%22.PGNR.&OS=DN/20050161074&RS=DN/20050161074
2005,Solar Mounting/Rack,"11/046,201",Photovoltaic power generation system,Kyoto,N/A,Japan,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220050217716%22.PGNR.&OS=DN/20050217716&RS=DN/20050217716
2007,Solar Mounting/Rack,"11/243,522",Photovoltaic module with rigidizing backplane,"San Jose, CA",CA,USA,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220070074755%22.PGNR.&OS=DN/20070074755&RS=DN/20070074755
2007,Solar Inverter,"11/278,916 ",ADAPTIVE SOLAR POWERED SYSTEM ,(Victoria),N/A,Canada,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220070235071%22.PGNR.&OS=DN/20070235071&RS=DN/20070235071
