2005,Solar Inverter,6882063,DC to DC converter and power management system,Calgary,N/A,Canada,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=6882063.PN.&OS=PN/6882063&RS=PN/6882063
2005,Solar Inverter,6914418,Multi-mode renewable power converter system ,Taipei,N/A,Taiwan,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=6914418.PN.&OS=PN/6914418&RS=PN/6914418
2005,Solar Mounting/Rack,6928775,Multi-use electric tile modules ,"(Tucson, AZ)",AZ,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=6928775.PN.&OS=PN/6928775&RS=PN/6928775
2005,Solar Mounting/Rack,6930238,Solar cell module-mounting structure and solar cell module array,Tokyo,N/A,Japan,http://patft.uspto.gov/netacgi/nph-Parser?Sect2=PTO1&Sect2=HITOFF&p=1&u=/netahtml/PTO/search-bool.html&r=1&f=G&l=50&d=PALL&RefSrch=yes&Query=PN/6930238
2005,Solar Inverter,6940735,Power converter system ,"Dearborn, MI",MI,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=6940735.PN.&OS=PN/6940735&RS=PN/6940735
2005,Solar Inverter,6949843,Grid-connected power systems having back-up power sources and methods of providing back-up power in grid-connected power systems ,"Columbia, MD",MD,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=6949843.PN.&OS=PN/6949843&RS=PN/6949843
2005,Solar Monitoring,6956500,Real-time residential energy monitor ,"Ormond Beach, FL",FL,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=6956500.PN.&OS=PN/6956500&RS=PN/6956500
2005,Solar Mounting/Rack,6959517,Photovoltaic panel mounting bracket,"Perrysburg, OH",OH,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=6959517.PN.&OS=PN/6959517&RS=PN/6959517
2005,Solar Inverter,6966184,"Photovoltaic power generating apparatus, method of producing same and photovoltaic power generating system ",Tokyo,N/A,Japan,http://patft.uspto.gov/netacgi/nph-Parser?Sect2=PTO1&Sect2=HITOFF&p=1&u=/netahtml/PTO/search-bool.html&r=1&f=G&l=50&d=PALL&RefSrch=yes&Query=PN/6966184
2006,Solar Monitoring,7000395,Hybrid clean-energy power-supply framework ,Jhongli ,N/A,Taiwan,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=7000395.PN.&OS=PN/7000395&RS=PN/7000395
