2012,Solar Inverter,"13/491,242",Solar Module and Method for its Operation ,"Nurnberg, DE",N/A,Germany,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=39&p=1&f=G&l=50&d=PG01&S1=((solar.CLM.+AND+(monitor.CLM.+OR+monitoring.CLM.))+OR+(photovoltaic.CLM.+AND+(monitor.CLM.+OR+monitoring.CLM.)))&OS=+(ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring))&RS=((ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring)))
2006,Solar Inverter,"11/278,916 ",ADAPTIVE SOLAR POWERED SYSTEM ,"Victoria, CA",,CA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=1138&f=G&l=50&d=PG01&s1=((solar.CLM.+AND+(monitor.CLM.+OR+monitoring.CLM.))+OR+(photovoltaic.CLM.+AND+(monitor.CLM.+OR+monitoring.CLM.)))&p=23&OS=+(ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring))&RS=((ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring)))
2007,Solar Monitoring,"11/764,804",SOLAR POWER SUPPLY WITH MONITORING AND COMMUNICATIONS ,"San Mateo, CA",CA,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=1085&f=G&l=50&d=PG01&s1=((solar.CLM.+AND+(monitor.CLM.+OR+monitoring.CLM.))+OR+(photovoltaic.CLM.+AND+(monitor.CLM.+OR+monitoring.CLM.)))&p=22&OS=+(ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring))&RS=((ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring)))
2007,Solar Inverter,"11/950,271",DISTRIBUTED POWER HARVESTING SYSTEMS USING DC POWER SOURCES ,"Raanana, IL",IL,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=1059&f=G&l=50&d=PG01&s1=((solar.CLM.+AND+(monitor.CLM.+OR+monitoring.CLM.))+OR+(photovoltaic.CLM.+AND+(monitor.CLM.+OR+monitoring.CLM.)))&p=22&OS=+(ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring))&RS=((ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring)))
2007,Solar Inverter,"12/280,696",APPARATUS AND METHOD FOR ENHANCED SOLAR POWER GENERATION AND MAXIMUM POWER POINT TRACKING,"Columbia, SC",SC,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=872&f=G&l=50&d=PG01&s1=((solar.CLM.+AND+(monitor.CLM.+OR+monitoring.CLM.))+OR+(photovoltaic.CLM.+AND+(monitor.CLM.+OR+monitoring.CLM.)))&p=18&OS=+(ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring))&RS=((ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring)))
2009,Solar Inverter,"12/411,294",DISTRIBUTED POWER HARVESTING SYSTEMS USING DC POWER SOURCES ,"Washington, DC",DC,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=877&f=G&l=50&d=PG01&s1=((solar.CLM.+AND+(monitor.CLM.+OR+monitoring.CLM.))+OR+(photovoltaic.CLM.+AND+(monitor.CLM.+OR+monitoring.CLM.)))&p=18&OS=+(ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring))&RS=((ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring)))
2006,Solar Monitoring,"12/088,978",System and Method for Array and String Level Monitoring of a Grid-Connected Photovoltaic Power System,"Novato, CA",CA,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=967&f=G&l=50&d=PG01&s1=((solar.CLM.+AND+(monitor.CLM.+OR+monitoring.CLM.))+OR+(photovoltaic.CLM.+AND+(monitor.CLM.+OR+monitoring.CLM.)))&p=20&OS=+(ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring))&RS=((ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring)))
2012,Site Assessment,"13/139,986 ",METHODS AND SYSTEMS FOR SOLAR SHADE ANALYSIS ,"Menlo Park, CA",CA,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=264&f=G&l=50&d=PG01&s1=((solar.CLM.+OR+photovoltaic.CLM.)+AND+((((((((mapping.CLM.+OR+estimation.CLM.)+OR+obstruction.CLM.)+OR+potential.CLM.)+OR+site.CLM.)+OR+terrain.CLM.)+OR+access.CLM.)+OR+azimuth.CLM.)+OR+survey.CLM.))&p=6&OS=+((ACLM/solar+OR+ACLM/photovoltaic)+AND+((((((((ACLM/mapping+OR+ACLM/estimation)+OR+ACLM/obstruction)+OR+ACLM/potential)+OR+ACLM/site)+OR+ACLM/terrain)+OR+ACLM/access)+OR+ACLM/azimuth)+OR+ACLM/survey))&RS=((ACLM/solar+OR+ACLM/photovoltaic)+AND+((((((((ACLM/mapping+OR+ACLM/estimation)+OR+ACLM/obstruction)+OR+ACLM/potential)+OR+ACLM/site)+OR+ACLM/terrain)+OR+ACLM/access)+OR+ACLM/azimuth)+OR+ACLM/survey))
2008,Site Assessment,"12/231,738 ",Extrapolation system for solar access determination ,"Bolinas, CA",CA,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220100061593%22.PGNR.&OS=DN/20100061593&RS=DN/20100061593
2010,Site Assessment,"12/777,224",IRRADIANCE MAPPING LEVERAGING A DISTRIBUTED NETWORK OF SOLAR PHOTOVOLTAIC SYSTEMS ,"New York, NY",NY,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=778&f=G&l=50&d=PG01&s1=((solar.CLM.+OR+photovoltaic.CLM.)+AND+((((((((mapping.CLM.+OR+estimation.CLM.)+OR+obstruction.CLM.)+OR+potential.CLM.)+OR+site.CLM.)+OR+terrain.CLM.)+OR+access.CLM.)+OR+azimuth.CLM.)+OR+survey.CLM.))&p=16&OS=+((ACLM/solar+OR+ACLM/photovoltaic)+AND+((((((((ACLM/mapping+OR+ACLM/estimation)+OR+ACLM/obstruction)+OR+ACLM/potential)+OR+ACLM/site)+OR+ACLM/terrain)+OR+ACLM/access)+OR+ACLM/azimuth)+OR+ACLM/survey))&RS=((ACLM/solar+OR+ACLM/photovoltaic)+AND+((((((((ACLM/mapping+OR+ACLM/estimation)+OR+ACLM/obstruction)+OR+ACLM/potential)+OR+ACLM/site)+OR+ACLM/terrain)+OR+ACLM/access)+OR+ACLM/azimuth)+OR+ACLM/survey))
