pat_id, title, USP#, date, assignee, city, state, family_id, application_no, filed_date, us_class, int_class, cpc_class
pat1, DC to DC converter and power management system, 6882063, April 19  2005, international power systems  inc. , calgary,  ca,22828458, 10/447168, May 27  2003, 307/82 ; 307/65; 307/66, H02M 3/158Ê(20060101); H02M 3/155Ê(20060101); H02M 3/04Ê(20060101); H02J 7/34Ê(20060101); H02J 001/00Ê(), H02J 7/34Ê(20130101); H02M 1/34Ê(20130101); H02M 3/155Ê(20130101); H02M 3/158Ê(20130101); H02M 2001/342Ê(20130101); Y02B 70/1491Ê(20130101)
pat2, Multi-mode renewable power converter system, 6914418, July 5  2005, phoenixtec power co.  ltd. , taipei,  tw,33159286, 10/419343, April 21  2003, 320/140, H02J 7/35Ê(20060101); H01M 010/46Ê(), H02J 7/35Ê(20130101); Y02E 10/58Ê(20130101)
pat3, Multi-use electric tile modules, 6928775, August 16  2005, , , ,31714975, 10/222483, August 16  2002, 52/173.3 ; 136/244; 136/251; 362/84, H01L 31/042Ê(20060101); H01L 31/048Ê(20060101); H01L 31/058Ê(20060101); E04D 013/18Ê(); E04H 014/00Ê(), H01L 31/0428Ê(20130101); H01L 31/0483Ê(20130101); H01L 31/0586Ê(20130101); E04D 2001/308Ê(20130101); E04F 2290/026Ê(20130101); Y02B 10/12Ê(20130101); Y02B 10/14Ê(20130101); Y02B 10/20Ê(20130101); Y02B 10/70Ê(20130101); Y02E 10/50Ê(20130101)
pat4, Solar cell module-mounting structure and solar cell module array, 6930238, August 16  2005, canon kabushiki kaisha , tokyo,  jp,28677550, 10/658387, September 10  2003, 136/251 ; 136/244; 136/258; 136/291; 136/293; 257/433; 52/173.3, H01L 25/00Ê(20060101); H01L 31/042Ê(20060101); H01L 31/048Ê(20060101); H01L 031/042Ê(); H01L 031/048Ê(), F24J 2/5237Ê(20130101); H01L 31/0422Ê(20130101); F24J 2002/4687Ê(20130101); F24J 2002/5292Ê(20130101); Y02E 10/47Ê(20130101); Y02E 10/50Ê(20130101)
pat5, Power converter system, 6940735, September 6  2005, ballard power systems corporation , dearborn,  mi,34573810, 10/713767, November 14  2003, 363/37 ; 290/46; 322/10; 363/95, H02M 7/797Ê(20060101); H02M 5/458Ê(20060101); H02J 3/38Ê(20060101); H02M 5/00Ê(20060101); H02M 7/66Ê(20060101); H02M 005/45Ê(), H02J 3/382Ê(20130101); H02M 5/4585Ê(20130101); H02M 7/797Ê(20130101); Y02B 10/14Ê(20130101); Y02E 10/563Ê(20130101)
pat6, Grid-connected power systems having back-up power sources and methods of providing back-up power in grid-connected power systems, 6949843, September 27  2005, morningstar  inc. , columbia,  md,33567892, 10/664940, September 22  2003, 307/64, H02J 9/06Ê(20060101); H02J 3/38Ê(20060101); H02J 7/35Ê(20060101); H02J 003/04Ê(), H02J 3/382Ê(20130101); H02J 9/062Ê(20130101); H02J 7/35Ê(20130101); Y02B 10/14Ê(20130101); Y02B 10/72Ê(20130101)
pat7, Real-time residential energy monitor, 6956500, October 18  2005, m & m systems  inc. , ormond beach,  fl,35066175, 10/306952, November 29  2002, 340/870.02 ; 250/215; 340/870.07; 340/870.11; 348/207.99; 705/412, G08C 15/00Ê(20060101); G08C 15/06Ê(20060101); G08C 015/06Ê(), G01D 4/008Ê(20130101); G06Q 50/06Ê(20130101); Y02B 90/247Ê(20130101); Y04S 20/46Ê(20130101); Y04S 20/50Ê(20130101)
pat8, Photovoltaic panel mounting bracket, 6959517, November 1  2005, first solar  llc , perrysburg,  oh,33416694, 10/434459, May 9  2003, 52/173.3 ; 52/204.597; 52/746.11, E06B 3/58Ê(20060101); E06B 1/56Ê(20060101); E06B 1/60Ê(20060101); F24J 2/52Ê(20060101); F24J 2/00Ê(20060101); E04D 013/18Ê(), E06B 1/6015Ê(20130101); E06B 3/5842Ê(20130101); F24J 2/464Ê(20130101); F24J 2/465Ê(20130101); F24J 2/5211Ê(20130101); F24J 2/5243Ê(20130101); F24J 2/5254Ê(20130101); H01L 31/0422Ê(20130101); H01L 31/0482Ê(20130101); F24J 2002/4676Ê(20130101); Y02B 10/12Ê(20130101); Y02B 10/20Ê(20130101); Y02E 10/47Ê(20130101); Y02E 10/50Ê(20130101)
pat9, Photovoltaic power generating apparatus  method of producing same and photovoltaic power generating system, 6966184, November 22  2005, canon kabushiki kaisha , tokyo,  jp,32321946, 10/717641, November 21  2003, 60/641.8 ; 136/256; 257/E27.123; 60/641.12, B60K 16/00Ê(20060101); F03G 6/00Ê(20060101); G05F 1/66Ê(20060101); G05F 1/67Ê(20060101); H02M 7/42Ê(20060101); H01L 31/042Ê(20060101); H02J 7/35Ê(20060101); H02M 3/00Ê(20060101); H01L 31/04Ê(20060101); H02J 3/38Ê(20060101); B60K 016/00Ê(), H01L 27/142Ê(20130101); H01L 31/042Ê(20130101); Y02E 10/46Ê(20130101); Y02E 10/50Ê(20130101)
pat10, Hybrid clean-energy power-supply framework, 7000395, February 21  2006, yuan ze university , jhongli,  tw,34920172, 10/797965, March 11  2004, 60/698 ; 290/1R; 320/101, F01B 23/08Ê(20060101); H02J 7/00Ê(20060101), F01K 13/00Ê(20130101); F01K 13/02Ê(20130101)
