No. ,Year,Patent Issue Date,Patent Application Publication Date,Publication No.,Inventors,Assignee,Technology Areas,Patent #/ Application #,Patent Subject,Filing Date,Start up or established: less than 10 yrs old (start up),"Type of Firm ( publicly traded, privately owned, educational)",Firm's Services,Assignee-Firm HQ/ Inventor*,Assignee State,"Assignee's Country of Origin - (if no assignee, inventors' home in parentheses)",Abstract,Innovation of the search term/category,Innovation around the application of the search term/category,Link," Number of Citations (""referenced by others"")",Number of Citations on application,DOE-Funding,Cross-Reference: continuations; related applications,Found in Patent/Application Search,Initial Search term; only patents issued between 1/1/2005 and July 2012,Patent Type,Appeared in Google Search Google,PTO Search  Terms,Appeared in PTO Search,Category A - At the outset of the search is that items in this category were expected to emerge in the search results for the search terms,Category B- Search results for specifc terms actually relate to another part of the balance of systems. ,Firm Web site,NOTES,Solar Inverter,Solar Mounting/Rack,Solar Monitoring,Solar Site Assessment,Solar Finance/ Business Model,Miscellaneous
1,2005,6-Sep-05,19-May-05,US 2005/0105306 A1,"Duo Deng, Vijay Bhavaraju",Ballard Power Systems Corporation,Solar Inverter,6940735,Power converter system ,14-Nov-03,Established ,Publicly Traded,Fuel-cell and back up power manufacturer,"Dearborn, MI",MI,USA,"A power converter system advantageously employs a modular, bi-directionally symmetrical power converter assembly in a readily customizable configuration to interconnect a direct current power source to a three-phase alternating power grid. Connections external to the power converter assembly are selected to optimize the power converter system for a specific application, such as interconnecting a photovoltaic array to the three-phase electrical power grid. The electrical interconnections of various elements including isolation transformers, voltage sensors, and control switches are optimized to improve efficiency and reliability.",Inverter system for three-phase DC to AC,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=145&f=G&l=50&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/inverter+AND+ACLM/,19,4,,,Patent Search,"""Inverter"" (claims) ""Photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,TRUE,FALSE,FALSE,,,
2,2005,22-Nov-05,19-Aug-04,US 2004/0159102 A1,"Fumitaka Toyomura, Toshihiko Mimura",Canon Kabushiki Kaisha,Solar Inverter,6966184,"Photovoltaic power generating apparatus, method of producing same and photovoltaic power generating system ",21-Nov-03,Established ,Publicly Traded,Electronics and optical Technology,"Tokyo, Japan",,Japan,A photovoltaic power generating apparatus is provided which comprises a single solar cell element formed on a substrate and a plurality of power conversion devices individually connected to the solar cell element for converting an output of the solar cell element.,,Inverter is part of the overall solar system,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=143&f=G&l=50&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/inverter+AND+ACLM/,15,9,,,Patent Search,"""Inverter"" (claims) ""Photovoltaic"" (claims)",Utility,,,Yes,,TRUE,,,TRUE,FALSE,FALSE,,,
3,2005,16-Aug-05,11-Mar-04,US 2004/0045595 A1,"Hidehisa Makita, Akiharu Takabayashi, Masaaki Matsushita, Takaaki Mukai, Shigenori Itoyama",Canon Kabushiki Kaisha,Solar Mounting/Rack,6930238,Solar cell module-mounting structure and solar cell module array,10-Sep-03,Established ,Publicly Traded,Electronics and optical Technology,Tokyo,,Japan,"In a solar cell module-mounting structure, a solar cell module 101 is fixed on one surface of a plate-shaped member 102, the plate-shaped member 102 is placed on an installation surface so that one side of the plate-shaped member is in contact with the installation surface, a surface of the plate-shaped member 102 opposite to the solar cell module-fixing surface is in contact with a first support member 103, and out of surfaces including the one side of the plate-shaped member 102, at least a part of the surfaces in no contact with the first support member 103 is in contact with a second support member 103, thereby effectively preventing a solar cell module-mounting rack from being moved by a wind load.",rectangular mounting plate that can stand up to wind loads,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=124&f=G&l=50&d=PTXT&s1=%28mounting.CLTX.+or+mounting.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/mounting+AND+ACLM/,1,4,,"This application is a continuation of International Application No. PCT/JP03/03614, filed Mar. 25, 2003, which claims the benefit of Japanese Patent Applications No. 2002-090187, filed Mar. 28, 2002 and No. 2003-064313, filed Mar. 11, 2003.",Patent Search,"""Mounting"" (claims) and ""Photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,
4,2005,1-Nov-05,11-Nov-04,US 2004/0221524 A1,"James J. Poddany, George L. Bukovinszky, Jr.",First Solar LLC,Solar Mounting/Rack,6959517,Photovoltaic panel mounting bracket,9-May-03,Established ,Publicly Traded,PV systems maker,"Perrysburg, OH",OH,USA,A mounting bracket mounts a photovoltaic module to a support structure.,,,http://www.google.com/patents?id=9EkUAAAAEBAJ&zoom=4&dq=Solar%20Racking&pg=PA1#v=onepage&q&f=false,22,0,,,Patent Search,"""Solar Inverter""",Utility,YES,"""Inverter"" (claims) ""Photovoltaic"" (claims)",YES,TRUE,,,,FALSE,TRUE,FALSE,,,
5,2005,1-Nov-05,11-Nov-04,US 2004/0221524 A1,"James J. Poddany, George L. Bukovinszky, Jr.","First Solar, LLC",Solar Mounting/Rack ,6959517,Photovoltaic panel mounting bracket,9-May-03,Established ,Publicly Traded,PV systems maker,"Perrysburg, OH",OH,USA,A mounting bracket mounts a photovoltaic module to a support structure.,Bracket to support PV mounting apparatus`,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=122&f=G&l=50&d=PTXT&s1=%28mounting.CLTX.+or+mounting.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/mounting+AND+ACLM/,28,4,,,Patent Search,"""Mounting"" (claims) and ""Photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,
6,2005,1-Nov-05,11-Nov-04,US 2004/0221524 A1,"James J. Poddany, George L. Bukovinszky, Jr.","First Solar, LLC",Solar Mounting/Rack  ,6959517,Photovoltaic panel mounting bracket ,9-May-03,Established ,Publicly Traded,PV systems maker,"Perrysburg, OH",OH,USA,A mounting bracket mounts a photovoltaic module to a support structure.,bracket for PV mounting system,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=122&f=G&l=50&d=PTXT&s1=%28mounting.CLTX.+or+mounting.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/mounting+AND+ACLM/,28,4,,,Patent Search,"""Mounting"" (claims) and ""Photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,
7,2005,19-Apr-05,30-Oct-03,US 2003/0201674 A1,"Gerald W. Droppo, Lawrence A. Schienbein, Brent Earle Harris, Donald J. Hammerstrom","International Power Systems, Inc.",Solar Inverter,6882063,DC to DC converter and power management system,27-May-03,Established ,Privately owned,Power systems manufacturer,Calgary,,Canada,"A DC to DC Converter includes an electrical circuit that allows batteries and other electrical energy storage devices to be charged from or to discharge to a variable voltage DC bus. This electrical circuit also enables seamless integration with other energy storage devices and/or DC power sources, such as fuel cells, to provide DC power for a Power Management System. A Power Management System preferably provides both full power source management and power conditioning. The Power Management System is able to manage power flow to and from multiple, isolated power sources and energy storage devices to deliver high quality alternating current (""AC"") power to a load.",Inverter converts DC sources for batteries and other power management supplies ,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=150&f=G&l=50&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/inverter+AND+ACLM/,16,6,,Related to Patent: 6628011,Patent Search,Inverter (claims) Photovoltaic (claims),Utility,,,Yes,TRUE,,,,TRUE,FALSE,FALSE,,,
8,2005,27-Sep-05,13-Jan-05,US 2005/0006958 A1,Stephen M. Dubovsky;,Morningstar Corp Inc.,Solar Inverter,6949843,Grid-connected power systems having back-up power sources and methods of providing back-up power in grid-connected power systems ,22-Sep-03,Established ,Privately owned,PV controller and inverter manufacturer,"Columbia, MD",MD,USA,"A grid-connected power system includes a primary power source, a back-up power source, a DC/AC inverter and a DC/DC converter. Direct current from the primary power source is supplied to the DC/AC inverter to obtain an alternating current output supplied to a utility grid when power from the utility grid is available to power a load. The output of the inverter is supplied to a selected portion of the load when power from the utility grid is unavailable to the load. Direct current from the back-up power source is supplied to the inverter through a DC/DC converter when power from the utility grid is unavailable to the load. The DC/DC converter converts the voltage of direct current from the back-up power source to direct current having a voltage compatible with the voltage of the primary power source and the inverter. The back-up power source may be charged by the primary power source or by the utility grid. Methods of providing back-up power include converting the voltage of direct current from a back-up power source to direct current of converted voltage and supplying the direct current of converted voltage to a DC/AC inverter.",,Inverter is part of a broader solar generation system that is connected to the grid with back up battery,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=144&f=G&l=50&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/inverter+AND+ACLM/,25,5,,,Patent Search,Inverter (claims) Photovoltaic (claims),Utility,,,Yes,,TRUE,http://www.morningstarcorp.com/en/home,,TRUE,FALSE,FALSE,,,
9,2005,16-Aug-05,19-Feb-04,US 2004/0031219 A1,Mark P Banister,,Solar Mounting/Rack,6928775,Multi-use electric tile modules ,16-Aug-02,Individual,,,"(Tucson, AZ)",AZ,USA,"A multiuse electric tile module for walling, flooring, or roofing applications having a photovoltaic cell, thermovoltaic cell, electroluminescent material, or a combination of these disposed over a rigid substrate, such as ceramic. Each tile is electrically connectable through a male-to-female connecter to at least one adjacent tile without external wiring. Preferably, a sealing layer is disposed over the electrical elements and rigid substrate to seal and protect each tile. Optionally, each tile may further include an inverter to convert direct current to alternating current or a battery to store electricity. The electroluminescent material provides light for architectural accents or nighttime visibility.",,Inverter is part of apparatus for solar generation through tiles,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=147&f=G&l=50&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/inverter+AND+ACLM/,21,15,,,Patent Search,Inverter (claims) Photovoltaic (claims),Utility,,,Yes,,TRUE,,,FALSE,TRUE,FALSE,,,
10,2006,24-Oct-06,2-Jun-05,US 2005/0116671 A1,"Masahiro Minami, Hiroaki Ichikawa, Masahito Kawai, Yukio Murai, Kaoru Nakajima","Ebara Corporation, Fuji Electric Holdings Co., Ltd.",Solar Inverter,7126294,"Method and device for controlling photovoltaic inverter, and feed water device",29-Jan-03,,,,"Tokyo, Japan",,Japan,"A photovoltaic inverter control method includes steps of monitoring a variation in output voltage of a solar battery by a power and voltage monitoring circuit (51) and, when the variation occurs, accelerating or decelerating an electric motor (3) to maximize the output voltage of the solar battery (1), whereby the electric motor for driving, for example, a pump and a fan by the solar battery as a power source can be driven by a photovoltaic inverter always at the maximum power point of the solar battery.",Method of controlling PV inverters to manage voltage,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=142&f=G&l=50&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/inverter+AND+ACLM/,10,6,,,Patent Search,Inverter (claims) Photovoltaic (claims),Utility,,,Yes,TRUE,,,,TRUE,FALSE,FALSE,,,
