No.,Filing Yr,Pub Yr.,Patent Application Publication Date,Publication No.,Inventors,Assignee,Technology Areas,Patent #/ Application #,Filing Date,Patent Subject,Filing Date,Start up or established: less than 10 yrs old (start up),"Type of Firm ( publicly traded, privately owned, educational)",,Assignee-Firm HQ/ Inventor*,Assignee State,"Assignee's Country of Origin - (if no assignee, inventors' home in parentheses)",Abstract,Innovation of the search term/category,Innovation around the application of the search term/category,Link," Number of Citations (""referenced by others"")",Number of Citations on application,DOE-Funding,Cross-Reference: continuations; related applications,Found in Patent/Application Search,Initial Search term; only patents issued between 1/1/2005 and July 2012,Patent Type,Appeared in Google Search Google,PTO Search  Terms,Appeared in PTO Search,Category A - At the outset of the search is that items in this category were expected to emerge in the search results for the search terms,Category B- Search results for specifc terms actually relate to another part of the balance of systems. ,Firm Web site,NOTES,Solar Inverter,Solar Mounting/Rack,Solar Monitoring,Solar Site Assessment,Solar Finance/ Business Model,Miscellaneous,Filing Year,
7,2003,2005,11-Aug-05,US 2005/0173615 A1,Bertrand Johan Edward Hontele,Koninklijke Philips Electronics N.V.,Solar Inverter,"10/516,646",5/21/2003,Dc-dc converter,21-May-03,Established, Publicly Traded,,Eindhoven,,Netherlands,In a solar power system a boost converter is used comprising a choke and a transformer. Alternately the choke is boosted in a first time interval while power transfer is taking place in a second time interval by means of the transformer. When the input voltage supplied by a solar panel is increased the first time interval is decreased while the second time interval is increased. As a result the boost converter can handle a wide range of input voltages.,Inverter efficiency- boost converter,,"http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=3&f=G&l=50&co1=AND&d=PG01&s1=""516,646"".APN.&OS=APN/""516,646""&RS=APN/""516,646""",,,,,Application Search, Inverter (claims) Photovoltaic (claims),Utility,,,Yes,,,,,TRUE,FALSE,FALSE,,,,2003,
2,2003,2005,23-Jun-05,US 2005/0133082 A1,"Annemarie Hvistendahl Konold, Donald Ross Konold",,Solar Mounting/Rack,"10/743,683",12/20/2003,Integrated solar energy roofing construction panel,20-Dec-03,,,,"(Malibu, CA)",CA,USA,A solar assembly comprising two components: a multi-functional solar collecting apparatus and a mounting embedment integrated with building construction material. The mounting embedment component is affixed to a building frame structure using standard construction techniques and receives the multi-functional solar collecting apparatus that is secured with fasteners. The multi-functional solar collecting apparatus converts solar energy to electrical energy using a photovoltaic grid mounted on a copper plate that provides even temperature dispersion across the plate and acts as a thermal radiator when the apparatus is used as a radiant cooler; and a plurality of interconnected heat transfer tubes located within the apparatus enclosure disposed on the plane below the copper plate but conductively coupled to the copper plate for converting the solar energy to thermal energy in a fluid disposed within the heat transfer tubes.,Solar cells integrated into building materials,,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220050133082%22.PGNR.&OS=DN/20050133082&RS=DN/20050133082,0,14,,,Application ,"""Mounting""(claims) and ""photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2003,
8,2003,2005,30-Jun-05,US 2005/0139259 A1,"Robert Steigerwald, Michael De Rooij",,Solar Inverter,"10/748,587",12/30/2003,Transformerless power conversion in an inverter for a photovoltaic system ,30-Dec-03,,,,"Schenectady, NY",NY,USA,"A transformerless photovoltaic system that may benefit from inverter topologies more suitable for ripple current cancellation techniques is provided. In one exemplary embodiment, the system may combine basic modules of straightforward inverter topologies to meet requirements for higher power applications and may comprise a bipolar photovoltaic array, and a full-bridge inverter electrically coupled to the bipolar photovoltaic array. The full bridge inverter may comprise first and second inverter legs that may be arranged to energize two phases of a grid electrically coupled to the photovoltaic system. In one exemplary embodiment, switching signals applied to switching devices in each of the first and second inverter legs may be adjusted relative to one other to reduce ripple current therein, thereby reducing the size of components used by the system.",Inverter efficiency,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=523&f=G&l=50&d=PG01&s1=Inverter.CLM.&s2=Photovoltaic.CLM.&co1=AND&p=11&OS=ACLM/Inverter+AND+ACLM/Photovoltaic&RS=ACLM/Inverter+AND+ACLM/Photovoltaic,,,,,Application Search, Inverter (claims) Photovoltaic (claims),Utility,,,Yes,,,,,TRUE,FALSE,FALSE,,,,2003,
3,2004,2005,3-Nov-05,US 2005/0241246 A1,"Sunil Kumar Sinha, Vineeta Kishore, Ajeya Prithipal Singh",,Solar Mounting/Rack,"10/835,737",4/30/2004,Easy-to-assemble building structure with a mountable frame for supporting solar panels ,30-Apr-04,,,,"(Pleasanton, CA)",CA,USA,"The present invention relates generally to an easy-to-assemble building structure with a mountable frame for mounting solar panels, solar water heating panels, fuel cells or any other renewable energy device and more particularly relates to a gazebo or a storage space or an overhang used for purposes of mounting solar panels.",Stand-alone structure for mounting PV panels,,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220050241246%22.PGNR.&OS=DN/20050241246&RS=DN/20050241246,0,8,,,Application ,"""Mounting""(claims) and ""photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2004,
14,2004,2006,27-Apr-06,US 2006/0086382 A1,Joshua Reed Plaisted,,Solar Mounting/Rack  ,"10/855,254",5/26/2004,Mechanism for mounting solar modules,26-May-04,,,,"(Berkley, CA)",CA,USA,A mounting system is provided for solar modules with a compressable retention structure for solar modules. The retention structure may interleave a upper and lower rail that provides a shelf or other support structure in order to hold a solar module or panel in an operative position. The upper and lower rails may be compressed towards one another in order to cause the support structure to retain the solar modules or panels.,"Rail devices that mount between solare modules, not undermeath",,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220060086382%22.PGNR.&OS=DN/20060086382&RS=DN/20060086382,0,8,,,Application ,"""Mounting""(Title) and ""solar"" (Title)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2004,
6,2004,2005,15-Dec-05,US 2005/0274407 A1,William Sims Curry,,Solar Mounting/Rack,"10/864,711",6/9/2004,Indoor photovoltaic energy system,9-Jun-04,,,,"(Chico, CA)",CA,USA,"An indoor photovoltaic energy system to provide a renewable energy source for buildings located in urban areas or other locations where there is insufficient land or roof area for mounting a sufficient number of photovoltaic panels to general a significant amount of electric energy. This concept is especially beneficial for multi-story buildings with a low ratio of roof space or available ground space per square foot of building space. This system uses standard indoor electric lighting fixtures as well as any available natural light through windows, skylights or other building openings for the light source that is converted to electric power. The direct current electric power generated by the photovoltaic panels is converted to more usable alternating current electric power by an inverter.",,Inverter as part of broader PV Generation system. ,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=514&f=G&l=50&d=PG01&s1=Inverter.CLM.&s2=Photovoltaic.CLM.&co1=AND&p=11&OS=ACLM/Inverter+AND+ACLM/Photovoltaic&RS=ACLM/Inverter+AND+ACLM/Photovoltaic,,,,,Application Search, Inverter (claims) Photovoltaic (claims),Utility,,,Yes,,,,,FALSE,TRUE,FALSE,,,,2004,
4,2004,2005,17-Mar-05,US 2005/0056742 A1,"Sass M. Peress, Po K. Lau",,Solar Mounting/Rack  ,"10/896,755",7/22/2004,Support structure for mounting a solar panel,22-Jul-04,,,,"(Montreal, CA",CA,USA,"An arrangement for mounting a solar panel to a surface, the arrangement including a frame for supporting a solar panel, and at least one support structure and mounting structure for mounting the frame to a surface. The support structure is preferably a wing-like structure that may be pivoted outward from frame, and mounting structure is preferably a suction cup that can be attached to the wing-like structure to mount the solar panel to a surface.",Support system that features removable suction cups to adhere solar modules to smooth surfaces; easily removeable,,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220050056742%22.PGNR.&OS=DN/20050056742&RS=DN/20050056742,0,0,,,Application ,"""Mounting""(Title) and ""solar"" (Title)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2004,
13,2004,2006,2-Mar-06,US 2006/0042683 A1,Ron Gangemi,,Solar Mounting/Rack,"10/931,183",8/31/2004,System and method for mounting photovoltaic cells,31-Aug-04,,,Firm's Services,"(Nevada City, CA)",CA,USA,A system for mounting photovoltaic cells on a surface and utilizing the energy produced therefrom. Several cells are connected in series to produce DC power. The DC power is converted to AC power suitable for use in utility lines. The cells are pigmented to ensure efficient collection of available radiation.,,Solar system that includes frames and connection devices to mount PV modules,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220060042683%22.PGNR.&OS=DN/20060042683&RS=DN/20060042683,0,6,,,Application ,"""Mounting""(claims) and ""photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2004,
5,2004,2005,28-Jul-05,US 2005/0161074 A1,"Paul Garvison, Donald B. Warfield",,Solar Mounting/Rack,"11/011,674",12/14/2004,Photovoltaic module mounting unit and system,14-Dec-04,,,Electronics manufacturer,"(Frederick, MD)",MD,USA,"A photovoltaic unit suitable for installing on a support structure comprising a photovoltaic module having a light receiving top side, and a bottom side opposite the top side, and a support substrate attached to the bottom side of the module, the support substrate comprising a plurality of ridges and at least one trough.",,Method for mounting PV system including apparatus to which panels attach on roof tops,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220050161074%22.PGNR.&OS=DN/20050161074&RS=DN/20050161074,0,10,,"[0001] This application claims the benefit of Provisional Patent Application No. 60/529,799 filed on Dec. 16, 2003. ",Application ,"""Mounting""(claims) and ""photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2004,
1,2005,2005,6-Oct-05,US 2005/0217716 A1,"Hiroto Masuda, Keiji Nakagawa",KYOCERA CORPORATION,Solar Mounting/Rack,"11/046,201",1/27/2005,Photovoltaic power generation system,27-Jan-05,Established,Publicly Traded,,,,Japan,"A photovoltaic power generation system comprises: a rectangular- or square-shaped solar cell module M including one or more solar cell elements 5; first and second racks 101, 102 assembled to opposite sides of the solar cell module M, respectively; and a weight member 104 disposed at a predetermined place of the first rack 101 and/or the second rack 102. The system is adapted to be held to place by means of the weight member 104 in order that the solar cell module M may not be blown away by the wind. Therefore, the system may be used simply by placing the system on an installation surface such as a flat roof. This results in the reduction of the number of assembly steps involved in installation works and the reduction of fabrication costs and time. Thus is achieved cost reduction.",,Solar system includes devices to mount the system on flat roofs,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220050217716%22.PGNR.&OS=DN/20050217716&RS=DN/20050217716,0,3,,,Application ,"""Mounting""(claims) and ""photovoltaic"" (claims)",Utility,,,Yes,,,,,FALSE,TRUE,FALSE,,,,2005,
