No. ,Year,Patent Issue Date,Patent Application Publication Date,Publication No.,Inventors,Assignee,Technology Areas,Patent #/ Application #,Classification Numbers,Patent Subject,Filing Date,Start up or established: less than 10 yrs old (start up),"Type of Firm ( publicly traded, privately owned, educational)",Firm's Services,Assignee-Firm HQ/ Inventor*,Assignee State,"Assignee's Country of Origin - (if no assignee, inventors' home in parentheses)",Abstract,Innovation of the search term/category,Innovation around the application of the search term/category,Link," Number of Citations Granted Patent (""referenced by others"")",Number of Citations on application,DOE-Funding,Cross-Reference: continuations; related applications,Found in Patent/Application Search,Initial Search term; only patents issued between 1/1/2005 and July 2012,Patent Type,Appeared in Google Search Google,PTO Search  Terms,Appeared in PTO Search,Category A - At the outset of the search is that items in this category were expected to emerge in the search results for the search terms,Category B- Search results for specifc terms actually relate to another part of the balance of systems. ,Firm Web site,NOTES,Solar Inverter,Solar Mounting/Rack,Solar Monitoring,Solar Site Assessment,SUBGROUP Inverter-Monitoring,Miscellaneous,Filing Year,Filing Date
7,2005,19-Apr-05,30-Oct-03,US 2003/0201674 A1,"Gerald W. Droppo, Lawrence A. Schienbein, Brent Earle Harris, Donald J. Hammerstrom","International Power Systems, Inc.",Solar Inverter,6882063,5/27/2003,DC to DC converter and power management system,27-May-03,Established ,Privately owned,Electrical connection equipment,Calgary,,Canada,"A DC to DC Converter includes an electrical circuit that allows batteries and other electrical energy storage devices to be charged from or to discharge to a variable voltage DC bus. This electrical circuit also enables seamless integration with other energy storage devices and/or DC power sources, such as fuel cells, to provide DC power for a Power Management System. A Power Management System preferably provides both full power source management and power conditioning. The Power Management System is able to manage power flow to and from multiple, isolated power sources and energy storage devices to deliver high quality alternating current (""AC"") power to a load.",Inverter converts DC sources for batteries and other power management supplies ,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=150&f=G&l=50&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/inverter+AND+ACLM/,16,6,,Related to Patent: 6628011,Patent Search,Inverter (claims) Photovoltaic (claims),Utility,,,Yes,TRUE,,,,TRUE,FALSE,FALSE,,,,2003,27/05/2003
94,2005,4 Jul 01,20-Oct-00,US 2004/0207366 A1 ,Chang-Che Sung,"Phoenixtec Power Co., Ltd.",Solar Monitoring,6914418,320/140,Multi-mode renewable power converter system ,20 Apr 99,Established,Publicly Traded,energy monitoring,Taipei,N/A,Taiwan,"A multi-mode renewable power converter system is disclosed. The system includes a control unit, a boost converter, an inverter and optional bi-directional charger, wherein the boost converter converts DC output of a solar cell or a renewable source to high DC bus voltage, and the inverter converts this DC bus voltage to an AC output. This power converter can be used to support standalone load or grid-connected system with a dynamic maximum power point tracking (MPPT) circuit. The MPPT circuit detects the current and voltage from the solar cell and indicates to the inverter to provide power to the load connected. When the optional bi-directional charger is installed, the MPPT signal is also fed to this charger to make the power efficiency maximized for the system. ",Power optimization,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=503&p=11&f=G&l=50&d=PTXT&S1=%28%28%28solar.CLTX.+or+solar.DCTX.%29+AND+%28%28monitor.CLTX.+or+monitor.DCTX.%29+OR+%28monitoring.CLTX.+or+monitoring.DCTX.%29%29%29+OR+%28%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29+AND+%28%28monitor.CLTX.+or+monitor.DCTX.%29+OR+%28monitoring.CLTX.+or+monitoring.DCTX.%29%29%29%29&OS=+%28ACLM/solar+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29+OR+%28ACLM/photovoltaic+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29&RS=%28%28ACLM/solar+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29+OR+%28ACLM/photovoltaic+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29%29,42,3,,,Patent Search,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),Utility,,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),Yes,TRUE,,,,,,TRUE,,,,,20/04/1999
9,2005,16-Aug-05,19-Feb-04,US 2004/0031219 A1,Mark P Banister,,Solar Mounting/Rack,6928775,52/173.3; 136/244; 136/251; 362/84,Multi-use electric tile modules ,16-Aug-02,Individual,,Inverter and Battery Manufacturer,"(Tucson, AZ)",AZ,USA,"A multiuse electric tile module for walling, flooring, or roofing applications having a photovoltaic cell, thermovoltaic cell, electroluminescent material, or a combination of these disposed over a rigid substrate, such as ceramic. Each tile is electrically connectable through a male-to-female connecter to at least one adjacent tile without external wiring. Preferably, a sealing layer is disposed over the electrical elements and rigid substrate to seal and protect each tile. Optionally, each tile may further include an inverter to convert direct current to alternating current or a battery to store electricity. The electroluminescent material provides light for architectural accents or nighttime visibility.",,Inverter is part of apparatus for solar generation through tiles,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=147&f=G&l=50&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/inverter+AND+ACLM/,21,15,,,Patent Search,Inverter (claims) Photovoltaic (claims),Utility,,,Yes,,TRUE,,,FALSE,TRUE,FALSE,,,,2002,16/08/2002
3,2005,16-Aug-05,11-Mar-04,US 2004/0045595 A1,"Hidehisa Makita, Akiharu Takabayashi, Masaaki Matsushita, Takaaki Mukai, Shigenori Itoyama",Canon Kabushiki Kaisha,Solar Mounting/Rack,6930238,136/251; 52/173.3; 136/244; 136/258; 136/291; 136/293; 257/433,Solar cell module-mounting structure and solar cell module array,10-Sep-03,Established ,Publicly Traded,Electronics and optical Technology,Tokyo,,Japan,"In a solar cell module-mounting structure, a solar cell module 101 is fixed on one surface of a plate-shaped member 102, the plate-shaped member 102 is placed on an installation surface so that one side of the plate-shaped member is in contact with the installation surface, a surface of the plate-shaped member 102 opposite to the solar cell module-fixing surface is in contact with a first support member 103, and out of surfaces including the one side of the plate-shaped member 102, at least a part of the surfaces in no contact with the first support member 103 is in contact with a second support member 103, thereby effectively preventing a solar cell module-mounting rack from being moved by a wind load.",rectangular mounting plate that can stand up to wind loads,,http://patft.uspto.gov/netacgi/nph-Parser?Sect2=PTO1&Sect2=HITOFF&p=1&u=/netahtml/PTO/search-bool.html&r=1&f=G&l=50&d=PALL&RefSrch=yes&Query=PN/6930238,3,4,,"This application is a continuation of International Application No. PCT/JP03/03614, filed Mar. 25, 2003, which claims the benefit of Japanese Patent Applications No. 2002-090187, filed Mar. 28, 2002 and No. 2003-064313, filed Mar. 11, 2003.",Patent Search,"""Mounting"" (claims) and ""Photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2003,10/09/2003
1,2005,6-Sep-05,19-May-05,US 2005/0105306 A1,"Duo Deng, Vijay Bhavaraju",Ballard Power Systems Corporation,Solar Inverter,6940735,363/37; 290/46; 322/10; 363/95,Power converter system ,14-Nov-03,Established ,Publicly Traded,Fuel-cell and back up power manufacturer,"Dearborn, MI",MI,USA,"A power converter system advantageously employs a modular, bi-directionally symmetrical power converter assembly in a readily customizable configuration to interconnect a direct current power source to a three-phase alternating power grid. Connections external to the power converter assembly are selected to optimize the power converter system for a specific application, such as interconnecting a photovoltaic array to the three-phase electrical power grid. The electrical interconnections of various elements including isolation transformers, voltage sensors, and control switches are optimized to improve efficiency and reliability.",Inverter system for three-phase DC to AC,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=145&f=G&l=50&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/inverter+AND+ACLM/,19,4,,,Patent Search,"""Inverter"" (claims) ""Photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,TRUE,FALSE,FALSE,,,,2003,14/11/2003
8,2005,27-Sep-05,13-Jan-05,US 2005/0006958 A1,Stephen M. Dubovsky;,Morningstar Corp Inc.,Solar Inverter,6949843,9/22/2003,Grid-connected power systems having back-up power sources and methods of providing back-up power in grid-connected power systems ,22-Sep-03,Established ,Privately owned,Solar module parts manufacturer,"Columbia, MD",MD,USA,"A grid-connected power system includes a primary power source, a back-up power source, a DC/AC inverter and a DC/DC converter. Direct current from the primary power source is supplied to the DC/AC inverter to obtain an alternating current output supplied to a utility grid when power from the utility grid is available to power a load. The output of the inverter is supplied to a selected portion of the load when power from the utility grid is unavailable to the load. Direct current from the back-up power source is supplied to the inverter through a DC/DC converter when power from the utility grid is unavailable to the load. The DC/DC converter converts the voltage of direct current from the back-up power source to direct current having a voltage compatible with the voltage of the primary power source and the inverter. The back-up power source may be charged by the primary power source or by the utility grid. Methods of providing back-up power include converting the voltage of direct current from a back-up power source to direct current of converted voltage and supplying the direct current of converted voltage to a DC/AC inverter.",,Inverter is part of a broader solar generation system that is connected to the grid with back up battery,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=144&f=G&l=50&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/inverter+AND+ACLM/,25,5,,,Patent Search,Inverter (claims) Photovoltaic (claims),Utility,,,Yes,,TRUE,http://www.morningstarcorp.com/en/home,,TRUE,FALSE,FALSE,,,,2003,22/09/2003
93,2005,17 Oct 01,Not available,Not available,"Alfred D. Ducharme, Jason M. Eichenholz, Paul A. Valentine ","M & M Systems, Inc.",Solar Monitoring,6956500,340/870.02 ; 250/215; 340/870.07; 340/870.11; 348/207.99; 705/412,Real-time residential energy monitor ,28 Nov 98,Established ,Privately Owned,IT Services and systems integration,"Ormond Beach, FL",FL,USA,"An inexpensive energy monitoring device and method for measuring energy usage and power costs in real time. The invention can include an external type digital battery powered camera that can be mounted away from and adjacent to the outdoor utility meter on a rotatable arm, which can send data signals to remote locations indoors using wireless such as an RF signal to a detector/display inside the residence. The indoor unit can be programmed to display desirable energy status information to a home owner on power usage and power costs on a daily bases, monthly bases, and yearly bases so that the home owner can budget energy usage and energy costs as needed. A shield can also be used with device and method for shielding power meters from adverse weather conditions. ",,Monitoring and graphical interface of energy consumption,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=490&p=10&f=G&l=50&d=PTXT&S1=%28%28%28solar.CLTX.+or+solar.DCTX.%29+AND+%28%28monitor.CLTX.+or+monitor.DCTX.%29+OR+%28monitoring.CLTX.+or+monitoring.DCTX.%29%29%29+OR+%28%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29+AND+%28%28monitor.CLTX.+or+monitor.DCTX.%29+OR+%28monitoring.CLTX.+or+monitoring.DCTX.%29%29%29%29&OS=+%28ACLM/solar+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29+OR+%28ACLM/photovoltaic+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29&RS=%28%28ACLM/solar+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29+OR+%28ACLM/photovoltaic+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29%29,18,15,,,Patent Search,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),Utility,,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),Yes,,TRUE,,,,,TRUE,,,,,28/11/1998
4,2005,1-Nov-05,11-Nov-04,US 2004/0221524 A1,"James J. Poddany, George L. Bukovinszky, Jr.","First Solar, Inc.",Solar Mounting/Rack,6959517,52/173.3; 52/204.597; 52/746.11,Photovoltaic panel mounting bracket,9-May-03,Established ,Publicly Traded,Solar systems manufacturer,"Perrysburg, OH",OH,USA,A mounting bracket mounts a photovoltaic module to a support structure.,PV mounting supports,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=6959517.PN.&OS=PN/6959517&RS=PN/6959517,22,0,,,Patent Search,"""Inverter"" (claims) ""Photovoltaic"" (claims)",Utility,YES,"""Inverter"" (claims) ""Photovoltaic"" (claims)",YES,TRUE,,,,FALSE,TRUE,FALSE,,,,2003,09/05/2003
2,2005,22-Nov-05,19-Aug-04,US 2004/0159102 A1,"Fumitaka Toyomura, Toshihiko Mimura",Canon Kabushiki Kaisha,Solar Inverter,6966184,60/641.8; 60/641.12; 136/256; 257/E27.123,"Photovoltaic power generating apparatus, method of producing same and photovoltaic power generating system ",21-Nov-03,Established ,Publicly Traded,Electronics and optical Technology,Tokyo,,Japan,A photovoltaic power generating apparatus is provided which comprises a single solar cell element formed on a substrate and a plurality of power conversion devices individually connected to the solar cell element for converting an output of the solar cell element.,,Inverter is part of the overall solar system,http://patft.uspto.gov/netacgi/nph-Parser?Sect2=PTO1&Sect2=HITOFF&p=1&u=/netahtml/PTO/search-bool.html&r=1&f=G&l=50&d=PALL&RefSrch=yes&Query=PN/6966184,19,10,,,Patent Search,"""Inverter"" (claims) ""Photovoltaic"" (claims)",Utility,,,Yes,,TRUE,,,TRUE,FALSE,FALSE,,,,2003,21/11/2003
11,2006,21-Feb-06,15-Sep-05,US 2005/0198963 A1,"Rong-Jong Wai, Rou-Yong Duan",Yuan Ze University,Solar Monitoring; Solar Inverter,7000395,60/698; 290/1.00R; 320/101,Hybrid clean-energy power-supply framework ,11-Mar-04,,Educational ,Research and education,"Jhongli, TW",,Taiwan,"A hybrid clean-energy power-supply framework integrates a fuel cell, solar cell, and wind energy, applies a max power tracking rule, raises the output power of a solar cell and wind energy to supply a power load and transfer the surplus electrical energy to a water-electrolyzing apparatus for producing hydrogen and oxygen, and provides a fuel for a fuel cell power generating system. Furthermore, the present invention utilizes features of each clean-energy power generating system, depends on the powerful calculation capacity of a central processing unit to monitor and dispatch each power generation and supply system, and thus ensures the reliability of supply power and reduces the power generation cost. Such a framework can selectively grid-connect with the utility power or run as a stand-alone power supply system and has a mechanism for preventing the island effect.",,Inverter is part of a broader clean energy generation system,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=7000395.PN.&OS=PN/7000395&RS=PN/7000395,17,8,,,Patent Search,Inverter (claims) Photovoltaic (claims),Utility,,,Yes,,TRUE,,,TRUE,FALSE,TRUE,,TRUE,,2004,11/03/2004
