7274975;DC;USA;Methods and systems are provided for optimizing the control of energy supply and demand. An energy control unit includes one or more algorithms for scheduling the control of energy consumption devices on the basis of variables relating to forecast energy supply and demand. Devices for which energy consumption can be scheduled or deferred are activated during periods of cheapest energy usage. Battery storage and alternative energy sources (e.g., photovoltaic cells) are activated to sell energy to the power grid during periods that are determined to correspond to favorable cost conditions.;;;
7406800;USA;USA;An integrated module frame and racking system for a solar panel is disclosed. The solar panel comprises a plurality of solar modules and a plurality of splices for coupling the plurality of solar modules together. The plurality of splices provide a way to make the connected modules mechanically rigid both during transport to the roof and after mounting for the lifetime of the system, provide wiring connections between modules, provide an electrical grounding path for the modules, provide a way to add modules to the panel, and provide a way to remove or change a defective module. Connector sockets are provided on the sides of the modules to simplify the electrical assembly of modules when the modules are connected together with splices.;;;
8209919;;USA;A mounting support for mounting photovoltaic modules constructed with at least one glass pane on a flat roof surface includes a flexible elongated strip having a bottom side with a substantially smooth surface for attachment to the roof surface and a top side with a substantially smooth surface for supporting the photovoltaic modules. The top side of the strip includes recesses oriented perpendicular to the longitudinal direction of the strip and separating strip segments which allows the mounting support or strip to be easily rolled up. The strip segments include integrally formed fastening members configured to engage with cooperating fasteners for securing the photovoltaic modules on top side of the strip. The top surface may also include longitudinal grooves or tubes holding the fastening members.;;;
12/102,557;;USA;A support member for a solar panel is provided comprising a base member having first and second surfaces and first and second sides, the first surface defining a recess configured to receive the solar panel. The first side of the support member defines a first flange extending therefrom that is flush with the first surface of the base member and the second side of the support member defines a second flange extending therefrom that is flush with the second surface of the base member.;;;
12/540,685;USA;USA;A flexible, lightweight photovoltaic cell array includes one or more individual photovoltaic cell strings attached to a polyimide film substrate and covered with a polyvinyl fluoride film. Each photovoltaic cell string includes one or more photovoltaic cells attached to a flexible printed circuit board. The photovoltaic cell array may be manufactured by a method that includes bonding at least one photovoltaic cell to a flexible printed circuit board, mounting the flexible printed circuit board on a polyimide film substrate, and covering the flexible printed circuit board with a substantially transparent polyvinyl fluoride film. ;;;
12/723,476;USA;USA;A system for securing photovoltaic panel modules to a support structure includes a first elongate member securable to the support structure. The first elongate member includes a plurality of first mounting sites positionally fixed thereon. A second elongate member is securable to the support structure. The second elongate member includes a plurality of second mounting sites positionally fixed thereon. The second elongate member is spaced from the first elongate member and aligned therewith in a generally parallel orientation. The position of the first and second elongate members is adjustable to align the first and second fixed mounting sites in a predetermined configuration. When the first and second elongate members are aligned in the predetermined configuration, the plurality of first mounting sites and second mounting sites are brought into alignment with each other to permit mounting of a plurality of panel modules to the first and second elongate members.;;;
12/557,389;USA;USA;The present invention provides apparatuses for photovoltaic modules, including frameless photovoltaic modules, to structural supports, such as various architectural elements. In addition, the present invention provides methods of mounting photovoltaic modules using the various apparatuses.;;;
12/794,307;USA;USA;A photovoltaic module ground mounting system can include a collapsible photovoltaic module mounting assembly framework.;;;
12/628,812;USA;USA;A system and method of mounting photovoltaic panels includes a mounting bracket.;;;
12/430,793;USA;USA;An apparatus and method is provided to allow fire fighters and other personnel unimpeded access to a roof no matter the placement or configuration of a plurality of solar panels installed on the roof. A user first disables the flow of electricity from the solar panels by activating a fail-safe system, thus electrically isolating each solar panel from a common power line and making safe manipulation of the solar panel possible. The user then unlocks the solar panel from its mounting frame by opening a latch and rotates the solar panel on the frame to expose the portion of the roof beneath the panel. The solar panel rotates over the end of the frame and remains coupled to the frame. With the solar panel swung out of the way, full and unimpeded access of the roof below the panel is now accessible to the firefighter.;;;
12/784,360;USA;USA;A variety of arrangements and methods relating to solar energy collectors and/or solar receivers are described. In one aspect of the invention, a solar receiver includes a photovoltaic cell and a conductive bar that is mounted on the photovoltaic cell. One or more protective covers are positioned over the conductive bar and the cell. Each of the protective covers includes a top and an opposing bottom surface and a side beveled surface. The top and bottom surfaces of the protective covers are substantially parallel to the face of the photovoltaic cell. The side beveled surface is positioned over the conductive bar and is arranged to reflect incoming sunlight towards a portion of the cell that is not covered by the conductive bar.;;;
12/784,392;USA;USA;A mounting support for a photovoltaic module is described. The mounting support includes a pedestal having a surface adaptable to receive a flat side of a photovoltaic module laminate. A hole is disposed in the pedestal, the hole adaptable to receive a bolt or a pin used to couple the pedestal to the flat side of the photovoltaic module laminate.;;;
12/416,358;USA;USA;A photovoltaic array including a plurality of photovoltaic assemblies and a plurality of mounting units. The mounting units each include an elongate rail and a plurality of leg assemblies. The rail is sized and configured to maintain a portion of at least two of the photovoltaic assemblies, with the leg assemblies extending from the rail in a spaced-apart fashion and terminating in a foot for placement against a rooftop structure for minimally penetration installation. Further, at least one of the leg assemblies can include a retractable leg. When the photovoltaic array is installed to a rooftop structure including a membrane intermittently secured to a rooftop deck, the retractable leg accommodates upward billowing of the membrane under windy conditions.;;;
12/625,363;USA;USA;A mounting support for a photovoltaic module is described. The mounting support includes a foundation having an integrated wire-way ledge portion. A photovoltaic module support mechanism is coupled with the foundation.;;;
12/340,500;USA;USA;"A photovoltaic system that includes a base; a photovoltaic material having an active area mounted to the base; and a protective covering mounted in the base and covering the photovoltaic material, the protective covering having a surface area larger than that of the active area and including an enhancement is presented. In some embodiments, the enhancement can include a lens area. In some embodiments, the enhancement can include a display area. Some embodiments further include a reflective layer between the protective covering and the photovoltaic material.";;;
12/601,240;USA;USA;"Methods and devices are provided for improved rooftop solar module mounting assemblies. In one embodiment, an assembly is provided for mounting a plurality of photovoltaic devices over a roof surface. The assembly comprises of a plurality of elongate metal rods, wherein the elongate metal rods are connected together to define a support grid; a plurality of non-roof penetrating grid supports configured to elevate the support grid above the roof surface; and a plurality of grid-to-roof anchors that secure the entire support grid over the roof surface, wherein the number of grid-to-roof anchors is less than about 1/4 of the number of non-roof penetrating grid supports to minimize the number of locations where water may enter the roof surface.";;;
12/676,138;USA;USA;"Methods and devices are provided for rapid solar module installation. In one embodiment, a photovoltaic module is provided comprising of a plurality of photovoltaic cells a plurality of photovoltaic modules; at least a first type of mounting bracket in contact with the module; at least a second type of mounting bracket, wherein the brackets are configured to interlock and connect multiple modules together.";;;
12/378,310;USA;USA;A mounting system for securing a photovoltaic device to a surface is provided in accordance with an exemplary embodiment. The mounting system includes one or more mounting members for securing an inactive area of the photovoltaic device to the surface. The mounting members are configured so the inactive area is non-destructively detachable from the surface and the photovoltaic device is not made incapable of operation due the detachment process. In an exemplary embodiment, the mounting system includes a unique configuration of mounting members for securing the photovoltaic device against the surface during a predetermined load condition imposed upon the photovoltaic device.;;;
12/564,664;USA;USA;A power generating system is operable while integrated within an exterior shell or facade of a building structure. The system components--energy generating devices (which can be photovoltaic), control units and associated power/signal wiring are incorporated and operated within individual unitized curtain wall units making up the facade.;;;
12/564,732;USA;USA;A unitized curtain wall unit is adapted to incorporate power generating elements within an exterior shell or facade of a building structure. The units can also be adapted to house other power generating system components--including control units and associated power/signal wiring.;;;
12/564,748;USA;USA;An energy conversion device is adapted to be housed within a unitized curtain wall unit as part of an exterior shell or facade of a building structure. The device can be a photovoltaic module that includes grounding and isolation elements within the curtain wall unit.;;;
12/564,783;USA;USA;A power generating system is operable while integrated within an exterior shell or facade of a building structure. The system components--energy generating devices (which can be photovoltaic), control units and associated power/signal wiring are incorporated and operated within individual unitized curtain wall units making up the facade.;;;
12/590,222;USA;USA;Unique mounting structures and installation methods for arrays of photovoltaic modules are disclosed. These structures and methods allow for simple, inexpensive and facile production of expansive area solar energy collection facilities.;;;
12/618,468;USA;USA;A power generating system includes a series of interconnected photovoltaic plank units, each made of multiple PV panels secured to a building structure spandrel area. The PV planks are adapted to be readily mounted to reduce installation time and cost. Electrical power can be more advantageously generated from surface areas of building structures such as commercial garages, overpasses and similar concrete facades previously untapped for solar energy harvesting.;;;
12/626,878;USA;USA;"Methods and devices are provided for improved rooftop solar module mounting assemblies. In one embodiment, an assembly is provided for mounting a plurality of photovoltaic devices over a roof surface. The assembly comprises of a plurality of elongate metal rods, wherein the elongate metal rods are connected together to define a support grid; a plurality of non-roof penetrating grid supports configured to elevate the support grid above the roof surface, wherein the panels are grouped to define a rigid combination of modules and beams wherein the combination covers sufficient area and has sufficient rigidity which minimizes the risk of module lift off. Some embodiments are non-ballasted systems without features added to increase the weight of the system above a minimum required for conventional wind load ballasting for solar installations.";;;
12/456,079;USA;USA;Multiple brackets are used together to support photovoltaic cells upon a roof. Each bracket includes a mounting rail at an upper side and a bottom rail at a lower side. The bottom rail of one bracket is configured to overlap the mounting rail of another bracket. Lateral joints on each bracket overlap each other to connect adjacent panels of photovoltaic cells. Cell support structures are interposed between the mounting rail and bottom rail to support a photovoltaic stack assembly thereon. Wind clips allow the bottom rail of a higher bracket to be interconnected with a mounting rail of a lower bracket. An undulating end piece allows airflow to enter beneath a lowest bracket and pass up beneath the brackets to provide cooling air for the overall system of photovoltaic cells mounted upon the brackets. Edge flashing precludes water migration laterally at edges of the panels.;;;
12/483,022;USA;USA;One embodiment relates to a photovoltaic (PV) apparatus. The PV apparatus includes a plurality of photovoltaic modules arranged in an array and attached to a support structure which is attached to a roof. Each of the photovoltaic modules comprises a plurality of photovoltaic cells. A first array-roof integration member is attached to a first side of the array. The array-roof integration member covers a gap between the first side of the array and the roof. Another embodiment relates to a method of installing a photovoltaic apparatus upon a sloped roof. Another embodiment relates to a kit for mounting a photovoltaic apparatus on a roof. Other embodiments, aspects and features are also disclosed herein.;;;
12/587,111;USA;USA;Thin film photovoltaic cells and strings of cells that may be electrically joined in series by a conductive carrier web that underlies the positive polarity side (bottom side) of the cells. Electrical contact between the positive polarity side of a cell and the carrier web may be made through electrically conductive material such as conductive adhesive disposed between the carrier web and one or more portions of the bottom surface of each cell. Electrical contact between the negative polarity (top side) of a cell and the carrier web may be made through one or more apertures formed in the cell. An electrically conductive material may be disposed in the apertures for this purpose, in conjunction with a dielectric to line the aperture and avoid an electrical short between the opposite polarities of a given cell.;;;
