"PatId"	"Yeartxt"	"OrigTechArea"	"city"	"state"	"state"	"country"	"topicId"	"ourTechArea"	"origCPC1"	"origCPC2"	"origCPC3"	"ourCPCnum1"	"ourCPCnum2"	"ourCPCnum3"	"GeoCode"	"Year"	"TopicId-Id"	"count1"	"Patnum"
"pat0772"	"yr2012"	"Solar Inverter"	"Pontedera"	"N/A"	"N/A"	"Italy"	3	"Solar Monitoring"	"Y02E"	"H02J"		"H02J"	"Y02E"	"Y02B"	"europe"	2012	"topic-03"	1	"num-13/321 885"
"pat0622"	"yr2012"	"Solar Mounting/Rack"	"San Jose  CA"	"CA"	"CA"	"USA"	2	"Solar Mounting/Rack"				"F24J"	"Y02E"	"H01L"	"Bay_Area"	2012	"topic-02"	1	"num-12/977 001"
"pat0265"	"yr2012"	"Solar Mounting/Rack"	"Wayne  MI"	"MI"	"MI"	"USA"	2	"Solar Mounting/Rack"	"F24J"	"Y02E"	"H01L"	"F24J"	"Y02E"	"H01L"	"MI"	2012	"topic-02"	1	"num-8226061"
"pat0528"	"yr2011"	"Solar Mounting/Rack"	"San Jose  CA"	"CA"	"CA"	"USA"	2	"Solar Mounting/Rack"	"F24J"	"Y02E"	"H01L"	"F24J"	"Y02E"	"H01L"	"Bay_Area"	2011	"topic-02"	1	"num-12/776 185"
"pat0640"	"yr2012"	"Solar Inverter"	"Austin  TX"	"TX"	"TX"	"USA"	6	"Solar Inverter"	"H02M"	"H02J"		"H02J"	"Y02E"	"H02M"	"TX"	2012	"topic-06"	1	"num-13/030 118"
"pat0488"	"yr2010"	"Solar Mounting/Rack"	"Alameda  CA"	"CA"	"CA"	"USA"	4	"Solar Mounting/Rack"	"H01L"	"Y02E"	"F24J"	"Y02B"	"H01L"	"Y02E"	"Bay_Area"	2010	"topic-04"	1	"num-12/618 468"
"pat0471"	"yr2010"	"Solar Inverter"	"Los Gatos  CA"	"CA"	"CA"	"USA"	3	"Solar Monitoring"	"Y02E"	"H02J"		"H02J"	"Y02E"	"Y02B"	"Bay_Area"	2010	"topic-03"	1	"num-12/567 169"
"pat0440"	"yr2010"	"Solar Mounting/Rack"	"Montebello  VA"	"VA"	"VA"	"USA"	12	"Solar Mounting/Rack"	"F24J"	"Y02E"	"H01L"	"Y02E"	"H01L"	"F24J"	"VA"	2010	"topic-12"	1	"num-12/453 348"
"pat0765"	"yr2012"	"Solar Inverter"	"Cambridge"	"N/A"	"N/A"	"Great Britain"	6	"Solar Inverter"	"H02J"	"H02M"		"H02J"	"Y02E"	"H02M"	"europe"	2012	"topic-06"	1	"num-13/310 691"
"pat0835"	"yr2012"	"Solar Mounting/Rack"	"Stuttgart"	"N/A"	"N/A"	"Germany"	7	"Solar Inverter"				"Y02E"	"H02J"	"H01L"	"germany"	2012	"topic-07"	1	"num-13/491 295"
"pat0030"	"yr2008"	"Solar Mounting/Rack"	"Auburn Hills  MI"	"MI"	"MI"	"USA"	14	"Solar Mounting/Rack"	"H01L"	"Y02E"	"Y02B"	"F24J"	"Y02E"	"H01L"	"MI"	2008	"topic-14"	1	"num-7365266"
"pat0236"	"yr2012"	"Solar Mounting/Rack"	"Marango  OH"	"OH"	"OH"	"USA"	14	"Solar Mounting/Rack"	"F24J"	"F16B"	"H01L"	"F24J"	"Y02E"	"H01L"	"OH"	2012	"topic-14"	1	"num-8176693"
"pat0527"	"yr2011"	"Solar Mounting/Rack"	"San Jose  CA"	"CA"	"CA"	"USA"	14	"Solar Mounting/Rack"	"F24J"	"Y02E"	"H01L"	"F24J"	"Y02E"	"H01L"	"Bay_Area"	2011	"topic-14"	1	"num-12/772756"
"pat0705"	"yr2011"	"Solar Inverter"	"New Castle  CO"	"CO"	"CO"	"USA"	6	"Solar Inverter"	"Y02E"	"Y02B"	"Y02E"	"H02J"	"Y02E"	"H02M"	"CO"	2011	"topic-06"	1	"num-13/161 018"
"pat0256"	"yr2012"	"Solar Mounting/Rack"	"Kolitzheim"	"N/A"	"N/A"	"Germany"	14	"Solar Mounting/Rack"	"F24J"	"Y02E"	"H01L"	"F24J"	"Y02E"	"H01L"	"germany"	2012	"topic-14"	1	"num-8209919"
"pat0219"	"yr2012"	"Solar Inverter"	"Dresden"	"N/A"	"N/A"	"Germany"	0	"Solar Inverter"	"Y02E"	"H01L"		"H02M"	"Y02E"	"H02J"	"germany"	2012	"topic-00"	1	"num-8138411"
"pat0348"	"yr2008"	"Solar Monitoring"	"San Mateo  CA"	"CA"	"CA"	"USA"	3	"Solar Monitoring"	"H01M"	"Y02E"		"H02J"	"Y02E"	"Y02B"	"Bay_Area"	2008	"topic-03"	1	"num-11/764 804"
"pat0543"	"yr2010"	"Solar Mounting/Rack"	"Grass Valley  CA"	"CA"	"CA"	"USA"	4	"Solar Mounting/Rack"	"F24J"	"Y02B"		"Y02B"	"H01L"	"Y02E"	"Other_CA"	2010	"topic-04"	1	"num-12/803 913"
"pat0119"	"yr2010"	"Solar Mounting/Rack"	"Alameda  CA"	"CA"	"CA"	"USA"	4	"Solar Mounting/Rack"	"H01L"	"Y02B"	"Y02E"	"Y02B"	"H01L"	"Y02E"	"Bay_Area"	2010	"topic-04"	1	"num-7845128"
"pat0374"	"yr2009"	"Solar Mounting/Rack"	"Coswig"	"N/A"	"N/A"	"Germany"	13	"Solar Mounting/Rack"	"F24J"	"Y02E"	"H01L"	"H01L"	"Y02E"	"F24J"	"germany"	2009	"topic-13"	1	"num-12/085 918"
