PatId, OrigTechArea, topicId, ourTechArea, ourCPCnum1, ourCPCnum2, ourCPCnum3 
pat626,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat2,Solar Mounting/Rack,9,Solar Mounting/Rack,H01L,Y02E,F24J
pat767,Solar Mounting/Rack,10,Solar Mounting/Rack,Y02E,H01L,Y02B
pat363,Solar Inverter,14,Solar Inverter,H02M,Y02E,H02J
pat222,Solar Monitoring,4,Solar Monitoring,H02J,Y02E,Y02B
pat376,Solar Inverter,14,Solar Inverter,H02M,Y02E,H02J
pat38,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat772,Solar Mounting/Rack,10,Solar Mounting/Rack,Y02E,H01L,Y02B
pat633,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat758,Solar Mounting/Rack,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat793,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat619,Solar Mounting/Rack,9,Solar Mounting/Rack,H01L,Y02E,F24J
pat115,Solar Inverter,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat511,Solar Monitoring,5,Solar Inverter,H02J,Y02E,H02M
pat12,Solar Mounting/Rack,10,Solar Mounting/Rack,Y02E,H01L,Y02B
pat450,Solar Inverter,0,Solar Inverter,H02J,Y02E,Y02B
pat397,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat445,Solar Inverter,8,Solar Inverter,Y02E,H01L,H02J
pat382,Solar Inverter,12,Site Assessment,H01L,Y02E,G01R
pat349,Solar Inverter,6,Solar Mounting/Rack,H01L,Y02B,Y02E
pat504,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat208,Solar Mounting/Rack,2,Solar Mounting/Rack,H01L,Y02E,F24J
pat100,Solar Mounting/Rack,2,Solar Mounting/Rack,H01L,Y02E,F24J
pat786,Solar Mounting/Rack,9,Solar Mounting/Rack,H01L,Y02E,F24J
pat518,Solar Monitoring,4,Solar Monitoring,H02J,Y02E,Y02B
pat459,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat492,Solar Inverter; Solar Mounting/Rack,5,Solar Inverter,H02J,Y02E,H02M
pat355,Solar Inverter,14,Solar Inverter,H02M,Y02E,H02J
pat751,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat840,Solar Mounting/Rack; Solar Inverter,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat610,Solar Mounting/Rack,10,Solar Mounting/Rack,Y02E,H01L,Y02B
pat605,Solar Mounting/Rack,5,Solar Inverter,H02J,Y02E,H02M
pat109,Solar Mounting/Rack;,2,Solar Mounting/Rack,H01L,Y02E,F24J
pat744,Solar Mounting/Rack,4,Solar Monitoring,H02J,Y02E,Y02B
pat487,Solar Inverter; Solar Monitoring,4,Solar Monitoring,H02J,Y02E,Y02B
pat340,Solar Inverter,14,Solar Inverter,H02M,Y02E,H02J
pat201,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat24,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat466,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat527,Solar Monitoring,14,Solar Inverter,H02M,Y02E,H02J
pat123,Solar Mounting/Rack,6,Solar Mounting/Rack,H01L,Y02B,Y02E
pat136,Solar Inverter;,8,Solar Inverter,Y02E,H01L,H02J
pat532,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat473,Solar Inverter;,14,Solar Inverter,H02M,Y02E,H02J
pat31,Solar Inverter,14,Solar Inverter,H02M,Y02E,H02J
pat153,Solar Mounting/Rack;,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat694,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat54,Solar Mounting/Rack,4,Solar Monitoring,H02J,Y02E,Y02B
pat416,Solar Inverter,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat290,Solar Inverter; Solar Monitoring,3,Solar Mounting/Rack,NO_CPC,NO_CPC,NO_CPC
pat557,Solar Monitoring,11,Solar Mounting/Rack,Y02E,H01L,F24J
pat285,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat589,Solar Mounting/Rack,5,Solar Inverter,H02J,Y02E,H02M
pat542,Solar Monitoring,11,Solar Mounting/Rack,Y02E,H01L,F24J
pat403,Solar Inverter,0,Solar Inverter,H02J,Y02E,Y02B
pat41,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat146,Solar Mounting/Rack,6,Solar Mounting/Rack,H01L,Y02B,Y02E
pat681,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat721,Solar Mounting/Rack,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat830,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat660,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat568,Solar Monitoring,4,Solar Monitoring,H02J,Y02E,Y02B
pat264,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat429,Solar Inverter,8,Solar Inverter,Y02E,H01L,H02J
pat325,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat330,Site Assessment,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat675,Solar Mounting/Rack,11,Solar Mounting/Rack,Y02E,H01L,F24J
pat179,Solar Inverter,1,Solar Monitoring,Y04S,H04Q,Y02E
pat734,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat825,Solar Mounting/Rack,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat561,Solar Monitoring,4,Solar Monitoring,H02J,Y02E,Y02B
pat62,Solar Inverter; Solar Mounting/Rack,8,Solar Inverter,Y02E,H01L,H02J
pat420,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat728,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat839,Solar Mounting/Rack; Solar Inverter,2,Solar Mounting/Rack,H01L,Y02E,F24J
pat669,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat165,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat170,Solar Inverter; Solar Monitoring,6,Solar Mounting/Rack,H01L,Y02B,Y02E
pat435,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat77,Solar Monitoring,4,Solar Monitoring,H02J,Y02E,Y02B
pat339,Solar Inverter,14,Solar Inverter,H02M,Y02E,H02J
pat574,Solar Monitoring; Solar Inverter,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat278,Solar Inverter,3,Solar Mounting/Rack,NO_CPC,NO_CPC,NO_CPC
pat313,Solar Inverter; Solar Monitoring,8,Solar Inverter,Y02E,H01L,H02J
pat96,Solar Mounting/Rack,10,Solar Mounting/Rack,Y02E,H01L,Y02B
pat252,Solar Mounting/Rack,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat299,Solar Inverter,3,Solar Mounting/Rack,NO_CPC,NO_CPC,NO_CPC
pat595,Solar Mounting/Rack,2,Solar Mounting/Rack,H01L,Y02E,F24J
pat191,Solar Monitoring,5,Solar Inverter,H02J,Y02E,H02M
