PatId	Patnum	Year	OrigTechArea	city	state	state	country	topicId	ourTechArea	ourCPCnum1	ourCPCnum2	ourCPCnum3	GeoCode	origCPC1	origCPC2	origCPC3
pat0772	num-13/321 885	yr2012	Solar Inverter	Pontedera	N/A	N/A	Italy	3	Solar Monitoring	H02J	Y02E	Y02B	europe	H02M	Y02B	H02J
pat0622	num-12/977 001	yr2012	Solar Mounting/Rack	San Jose  CA	CA	CA	USA	2	Solar Mounting/Rack	F24J	Y02E	H01L	Bay_Area	Y02E	H02J	
pat0265	num-8226061	yr2012	Solar Mounting/Rack	Wayne  MI	MI	MI	USA	2	Solar Mounting/Rack	F24J	Y02E	H01L	MI	Y02B	H01L	Y02E
pat0528	num-12/776 185	yr2011	Solar Mounting/Rack	San Jose  CA	CA	CA	USA	2	Solar Mounting/Rack	F24J	Y02E	H01L	Bay_Area	F24J	Y02E	H01L
pat0640	num-13/030 118	yr2012	Solar Inverter	Austin  TX	TX	TX	USA	6	Solar Inverter	H02J	Y02E	H02M	TX	H02M	Y02E	Y02B
pat0488	num-12/618 468	yr2010	Solar Mounting/Rack	Alameda  CA	CA	CA	USA	4	Solar Mounting/Rack	Y02B	H01L	Y02E	Bay_Area	H02J	Y02B	
pat0471	num-12/567 169	yr2010	Solar Inverter	Los Gatos  CA	CA	CA	USA	3	Solar Monitoring	H02J	Y02E	Y02B	Bay_Area	Y04S	G01D	G06Q
pat0440	num-12/453 348	yr2010	Solar Mounting/Rack	Montebello  VA	VA	VA	USA	12	Solar Mounting/Rack	Y02E	H01L	F24J	VA	F24J	Y02E	E06B
pat0765	num-13/310 691	yr2012	Solar Inverter	Cambridge	N/A	N/A	Great Britain	6	Solar Inverter	H02J	Y02E	H02M	europe	Y02E	H01L	
pat0835	num-13/491 295	yr2012	Solar Mounting/Rack	Stuttgart	N/A	N/A	Germany	7	Solar Inverter	Y02E	H02J	H01L	germany	F01K		
pat0030	num-7365266	yr2008	Solar Mounting/Rack	Auburn Hills  MI	MI	MI	USA	14	Solar Mounting/Rack	F24J	Y02E	H01L	MI	Y02E	H02M	Y02E
pat0236	num-8176693	yr2012	Solar Mounting/Rack	Marango  OH	OH	OH	USA	14	Solar Mounting/Rack	F24J	Y02E	H01L	OH	E04D	F24J	Y02E
pat0527	num-12/772756	yr2011	Solar Mounting/Rack	San Jose  CA	CA	CA	USA	14	Solar Mounting/Rack	F24J	Y02E	H01L	Bay_Area	F24J	Y02E	H01L
pat0705	num-13/161 018	yr2011	Solar Inverter	New Castle  CO	CO	CO	USA	6	Solar Inverter	H02J	Y02E	H02M	CO	Y02E	G05F	
pat0256	num-8209919	yr2012	Solar Mounting/Rack	Kolitzheim	N/A	N/A	Germany	14	Solar Mounting/Rack	F24J	Y02E	H01L	germany	H01L	Y02E	G08B
pat0219	num-8138411	yr2012	Solar Inverter	Dresden	N/A	N/A	Germany	0	Solar Inverter	H02M	Y02E	H02J	germany	G08B		
pat0348	num-11/764 804	yr2008	Solar Monitoring	San Mateo  CA	CA	CA	USA	3	Solar Monitoring	H02J	Y02E	Y02B	Bay_Area	H02J		
pat0543	num-12/803 913	yr2010	Solar Mounting/Rack	Grass Valley  CA	CA	CA	USA	4	Solar Mounting/Rack	Y02B	H01L	Y02E	Other_CA	G01D	H05B	G08C
pat0119	num-7845128	yr2010	Solar Mounting/Rack	Alameda  CA	CA	CA	USA	4	Solar Mounting/Rack	Y02B	H01L	Y02E	Bay_Area	Y02E	G05F	
pat0374	num-12/085 918	yr2009	Solar Mounting/Rack	Coswig	N/A	N/A	Germany	13	Solar Mounting/Rack	H01L	Y02E	F24J	germany			
pat0014	num-7161082	yr2007	Solar Inverter	Tokyo	N/A	N/A	Japan	11	Solar Inverter	Y02E	H02J	G05F	jp	H02J	Y02E	G06Q
pat0125	num-7858874	yr2010	Solar Mounting/Rack	Kensington  MD	MD	MD	USA	4	Solar Mounting/Rack	Y02B	H01L	Y02E	MD	F24J	Y02E	H01L
pat0821	num-13/457 155	yr2012	Solar Inverter	Perrysburg  OH	OH	OH	USA	8	Solar Inverter	H01L	Y02E	Y02B	OH	G01W	Y02B	
pat0182	num-8024077	yr2011	Solar Monitoring	San Diego  CA	CA	CA	USA	5	Solar Monitoring	Y04S	G06Q	Y02E	SOCAL	F24J	H01L	Y02E
pat0707	num-13/168 164	yr2012	Solar Mounting/Rack	St. Michael	N/A	N/A	Austria	12	Solar Mounting/Rack	Y02E	H01L	F24J	europe	Y04S	G01D	H04Q
pat0431	num-12/403 339	yr2010	Solar Monitoring	Santa Clara  CA	CA	CA	USA	6	Solar Inverter	H02J	Y02E	H02M	Bay_Area	H02M	Y02E	Y02B
pat0439	num-12/450 001	yr2010	Solar Mounting/Rack	Westford  MA	USA	USA	USA	2	Solar Mounting/Rack	F24J	Y02E	H01L	USA	G01R		
pat0562	num-12/857 778	yr2012	Solar Monitoring	Palatine  IL	IL	IL	USA	11	Solar Inverter	Y02E	H02J	G05F	IL	G01D	H04Q	Y04S
pat0520	num-12/745 345	yr2011	Solar Inverter	Sarriguren	N/A	N/A	Spain	0	Solar Inverter	H02M	Y02E	H02J	europe	H01R		
pat0516	num-12/733 391	yr2010	Solar Monitoring	Pettenbach	N/A	N/A	Austria	6	Solar Inverter	H02J	Y02E	H02M	europe	H02J		
pat0712	num-13/181 216	yr2012	Solar Inverter	Fort Collins  CO	CO	CO	USA	1	Site Assessment	G01W	G06Q	G01R	CO	H01L	Y02E	Y02B
pat0045	num-7479774	yr2009	Solar Inverter	Taoyuan	N/A	N/A	Taiwan	0	Solar Inverter	H02M	Y02E	H02J	asia	H02M	H02J	
pat0026	num-7333916	yr2008	Solar Monitoring	Warrenville  IL	IL	IL	USA	6	Solar Inverter	H02J	Y02E	H02M	IL	H02M	Y02B	G05F
pat0623	num-12/977 006	yr2012	Solar Mounting/Rack	San Jose  CA	CA	CA	USA	12	Solar Mounting/Rack	Y02E	H01L	F24J	Bay_Area	H05K		
pat0734	num-13/227 777	yr2012	Solar Monitoring	Los Gatos  CA	CA	CA	USA	5	Solar Monitoring	Y04S	G06Q	Y02E	Bay_Area	F24J	Y02E	H01L
pat0457	num-12/542 524	yr2011	Solar Monitoring	Newark  CA	CA	CA	USA	5	Solar Monitoring	Y04S	G06Q	Y02E	Bay_Area	Y02E	H02M	H02J
pat0094	num-7795837	yr2010	Solar Monitoring	Stafford  TX	TX	TX	USA	12	Solar Mounting/Rack	Y02E	H01L	F24J	TX	H02M		
pat0775	num-13/331 826	yr2012	Solar Mounting/Rack	Mascoutah  IL	IL	IL	USA	2	Solar Mounting/Rack	F24J	Y02E	H01L	IL	H02J		
pat0843	num-13/537 918	yr2012	Solar Inverter	Altdorf	N/A	N/A	Germany	9	Solar Mounting/Rack	H01L	Y02E	H01R	germany	H02M	H02J	
pat0090	num-7772716	yr2010	Solar Inverter	Menlo Park  CA	CA	CA	USA	6	Solar Inverter	H02J	Y02E	H02M	Bay_Area	F24J	Y02E	H01L
pat0836	num-13/492 084	yr2012	Solar Inverter	Austin  TX	TX	TX	USA	7	Solar Inverter	Y02E	H02J	H01L	TX	F24J	Y02E	H01R
pat0530	num-12/784 360	yr2010	Solar Mounting/Rack	Mountain View  CA	CA	CA	USA	13	Solar Mounting/Rack	H01L	Y02E	F24J	Bay_Area	F24J	Y02E	H01L
pat0524	num-12/759 652	yr2011	Solar Inverter	Fort Collins  CO	CO	CO	USA	9	Solar Mounting/Rack	H01L	Y02E	H01R	CO	Y02E	H02J	Y02E
pat0768	num-13/317 142	yr2012	Solar Mounting/Rack	San Rafeal  CA	CA	CA	USA	14	Solar Mounting/Rack	F24J	Y02E	H01L	Bay_Area	Y02E	G05F	
pat0319	num-10/516 646	yr2005	Solar Inverter	Eindhoven	N/A	N/A	Netherlands	5	Solar Monitoring	Y04S	G06Q	Y02E	europe	F24J	Y02E	H01L
pat0586	num-12/908 055	yr2011	Solar Mounting/Rack	Midland  MI	MI	MI	USA	8	Solar Inverter	H01L	Y02E	Y02B	MI	H02M	Y02E	Y02B
pat0432	num-12/404 546	yr2009	Solar Mounting/Rack	Jacksonville  FL	FL	FL	USA	14	Solar Mounting/Rack	F24J	Y02E	H01L	FL	F24J	Y02E	Y02B
pat0390	num-12/172 221	yr2010	Solar Monitoring	Santa Clara  CA	CA	CA	USA	5	Solar Monitoring	Y04S	G06Q	Y02E	Bay_Area	F24J	Y02E	Y02B
pat0599	num-12/942 404	yr2011	Solar Mounting/Rack	Toledo  OH	OH	OH	USA	4	Solar Mounting/Rack	Y02B	H01L	Y02E	OH	H04Q		
pat0034	num-7406800	yr2008	Solar Mounting/Rack	Saratoga  CA	USA	USA	USA	12	Solar Mounting/Rack	Y02E	H01L	F24J	USA	F24J	G06F	Y02E
pat0363	num-11/924 594	yr2008	Solar Mounting/Rack	San Jose  CA	CA	CA	USA	14	Solar Mounting/Rack	F24J	Y02E	H01L	Bay_Area	H02M	H02J	
pat0773	num-13/326 094	yr2012	Solar Mounting/Rack	Limerick  PA	PA	PA	USA	4	Solar Mounting/Rack	Y02B	H01L	Y02E	PA	G01W		
pat0015	num-7187277	yr2007	Solar Monitoring	Tokyo	N/A	N/A	Japan	3	Solar Monitoring	H02J	Y02E	Y02B	jp	G06Q	Y04S	
pat0826	num-13/470888	yr2012	Solar Inverter	Seoul	N/A	N/A	South Korea	13	Solar Mounting/Rack	H01L	Y02E	F24J	asia	F24J	Y02E	H01L
pat0066	num-7648371	yr2010	Solar Mounting/Rack	Detmold	N/A	N/A	Germany	9	Solar Mounting/Rack	H01L	Y02E	H01R	germany	F24J	Y02B	Y02E
pat0701	num-13/155 515	yr2011	Solar Mounting/Rack	Berlin	N/A	N/A	Germany	14	Solar Mounting/Rack	F24J	Y02E	H01L	germany	Y02E	G05F	
pat0393	num-12/200 168	yr2009	Solar Mounting/Rack	Albuquerque  NM	NM	NM	USA	2	Solar Mounting/Rack	F24J	Y02E	H01L	NM	F24J	Y02E	H01L
pat0666	num-13/079 947	yr2012	Solar Mounting/Rack	Ballston Lake  NY	NY	NY	USA	14	Solar Mounting/Rack	F24J	Y02E	H01L	NY	E04F	H01L	Y02E
pat0651	num-13/050 812	yr2011	Solar Mounting/Rack	Santa Rosa  CA	CA	CA	USA	8	Solar Inverter	H01L	Y02E	Y02B	Bay_Area	F24J	Y02E	H01L
pat0639	num-13/029 585	yr2011	Solar Inverter	Niestetal	N/A	N/A	Germany	8	Solar Inverter	H01L	Y02E	Y02B	germany	F24J	Y02E	H01L
pat0099	num-7807919	yr2010	Solar Inverter	Los Gatos  CA	CA	CA	USA	8	Solar Inverter	H01L	Y02E	Y02B	Bay_Area	Y02E	Y02B	H02M
pat0770	num-13/318 589	yr2012	Solar Inverter	Boulder  CO	CO	CO	USA	0	Solar Inverter	H02M	Y02E	H02J	CO	G01R		
pat0421	num-12/368 887	yr2009	Solar Mounting/Rack	Santa Clara  CA	CA	CA	USA	14	Solar Mounting/Rack	F24J	Y02E	H01L	Bay_Area	G05F		
pat0419	num-12/362 671	yr2009	Solar Mounting/Rack	Warrenville  IL	IL	IL	USA	2	Solar Mounting/Rack	F24J	Y02E	H01L	IL	F24J	Y02E	H01L
pat0239	num-8184460	yr2012	Solar Inverter	Niskayuna  NY	NY	NY	USA	0	Solar Inverter	H02M	Y02E	H02J	NY	G01R		
pat0336	num-11/465 787	yr2008	Solar Mounting/Rack	San Jose  CA	CA	CA	USA	8	Solar Inverter	H01L	Y02E	Y02B	Bay_Area	H01R	H01L	
pat0328	num-11/046 201	yr2005	Solar Mounting/Rack	Kyoto	N/A	N/A	Japan	2	Solar Mounting/Rack	F24J	Y02E	H01L	jp	H01R	H01L	H01R
pat0564	num-12/862 205	yr2012	Solar Monitoring	Moriguchi City	N/A	N/A	Japan	7	Solar Inverter	Y02E	H02J	H01L	jp	Y02E	H05K	H02M
pat0662	num-13/075 093	yr2012	Solar Monitoring	Los Gatos  CA	CA	CA	USA	12	Solar Mounting/Rack	Y02E	H01L	F24J	Bay_Area	H02M	H02J	Y02B
pat0572	num-12/892 130	yr2012	Solar Monitoring	Schenectady  NY	NY	NY	USA	3	Solar Monitoring	H02J	Y02E	Y02B	NY	H01L	E04D	Y02E
pat0127	num-7866098	yr2011	Solar Mounting/Rack	Saratoga  CA	CA	CA	USA	12	Solar Mounting/Rack	Y02E	H01L	F24J	Bay_Area	G01J	G01C	G01W
pat0243	num-8192233	yr2012	Solar Mounting/Rack	Berwyn  PA	PA	PA	USA	9	Solar Mounting/Rack	H01L	Y02E	H01R	PA	F24J	Y02E	G01S
pat0560	num-12/856 827	yr2011	Solar Mounting/Rack	Colorado Springs  CO	CO	CO	USA	14	Solar Mounting/Rack	F24J	Y02E	H01L	CO	Y02E	F24J	Y02E
pat0448	num-12/491 641	yr2011	Solar Monitoring	Snoqualmie  WA	WA	WA	USA	9	Solar Mounting/Rack	H01L	Y02E	H01R	WA	G01D	G06Q	H04W
pat0011	num-7155870	yr2007	Solar Mounting/Rack	Berkeley  CA	CA	CA	USA	2	Solar Mounting/Rack	F24J	Y02E	H01L	Bay_Area	Y02E	Y02B	H02M
pat0002	num-6928775	yr2005	Solar Mounting/Rack	Tucson  AZ	AZ	AZ	USA	13	Solar Mounting/Rack	H01L	Y02E	F24J	AZ	C09K	G06F	
pat0661	num-13/070 769	yr2011	Solar Inverter	Niestetal	N/A	N/A	Germany	0	Solar Inverter	H02M	Y02E	H02J	germany	H02M	H02J	
pat0430	num-12/393 009	yr2010	Solar Inverter	Mountain View  CA	CA	CA	USA	11	Solar Inverter	Y02E	H02J	G05F	Bay_Area	H02H		
pat0003	num-6930238	yr2005	Solar Mounting/Rack	Tokyo	N/A	N/A	Japan	2	Solar Mounting/Rack	F24J	Y02E	H01L	jp	Y04S	H02J	Y04S
pat0001	num-6914418	yr2005	Solar Inverter	Taipei	N/A	N/A	Taiwan	0	Solar Inverter	H02M	Y02E	H02J	asia	F24J	Y02E	H01L
pat0428	num-12/391 623	yr2009	Solar Mounting/Rack	Hopewell  NJ	NJ	NJ	USA	14	Solar Mounting/Rack	F24J	Y02E	H01L	NJ	F24J	Y02E	H01L
pat0166	num-7977818	yr2011	Solar Inverter	New Castle  CO	CO	CO	USA	6	Solar Inverter	H02J	Y02E	H02M	CO	H02J	G01D	Y02B
pat0454	num-12/525 794	yr2010	Solar Mounting/Rack	Blomberg	N/A	N/A	Germany	9	Solar Mounting/Rack	H01L	Y02E	H01R	germany	H02J	Y02E	
pat0148	num-7921607	yr2011	Solar Mounting/Rack	Novato  CA	CA	CA	USA	4	Solar Mounting/Rack	Y02B	H01L	Y02E	Bay_Area	F24J	Y02E	H01L
pat0473	num-12/581 793	yr2010	Solar Mounting/Rack	Fort Collins  CO	CO	CO	USA	8	Solar Inverter	H01L	Y02E	Y02B	CO	H02M		
