PatId	Patnum	Year	OrigTechArea	city	state	state	country	topicId	ourTechArea	origCPC1	origCPC2	origCPC3	ourCPCnum1	ourCPCnum2	ourCPCnum3	GeoCode
pat0772	num-13/321 885	yr2012	Solar Inverter	Pontedera	N/A	N/A	Italy	3	Solar Monitoring	Y02E	H02J		H02J	Y02E	Y02B	europe
pat0622	num-12/977 001	yr2012	Solar Mounting/Rack	San Jose  CA	CA	CA	USA	2	Solar Mounting/Rack				F24J	Y02E	H01L	Bay_Area
pat0265	num-8226061	yr2012	Solar Mounting/Rack	Wayne  MI	MI	MI	USA	2	Solar Mounting/Rack	F24J	Y02E	H01L	F24J	Y02E	H01L	MI
pat0528	num-12/776 185	yr2011	Solar Mounting/Rack	San Jose  CA	CA	CA	USA	2	Solar Mounting/Rack	F24J	Y02E	H01L	F24J	Y02E	H01L	Bay_Area
pat0640	num-13/030 118	yr2012	Solar Inverter	Austin  TX	TX	TX	USA	6	Solar Inverter	H02M	H02J		H02J	Y02E	H02M	TX
pat0488	num-12/618 468	yr2010	Solar Mounting/Rack	Alameda  CA	CA	CA	USA	4	Solar Mounting/Rack	H01L	Y02E	F24J	Y02B	H01L	Y02E	Bay_Area
pat0471	num-12/567 169	yr2010	Solar Inverter	Los Gatos  CA	CA	CA	USA	3	Solar Monitoring	Y02E	H02J		H02J	Y02E	Y02B	Bay_Area
pat0440	num-12/453 348	yr2010	Solar Mounting/Rack	Montebello  VA	VA	VA	USA	12	Solar Mounting/Rack	F24J	Y02E	H01L	Y02E	H01L	F24J	VA
pat0765	num-13/310 691	yr2012	Solar Inverter	Cambridge	N/A	N/A	Great Britain	6	Solar Inverter	H02J	H02M		H02J	Y02E	H02M	europe
pat0835	num-13/491 295	yr2012	Solar Mounting/Rack	Stuttgart	N/A	N/A	Germany	7	Solar Inverter				Y02E	H02J	H01L	germany
pat0030	num-7365266	yr2008	Solar Mounting/Rack	Auburn Hills  MI	MI	MI	USA	14	Solar Mounting/Rack	H01L	Y02E	Y02B	F24J	Y02E	H01L	MI
pat0236	num-8176693	yr2012	Solar Mounting/Rack	Marango  OH	OH	OH	USA	14	Solar Mounting/Rack	F24J	F16B	H01L	F24J	Y02E	H01L	OH
pat0527	num-12/772756	yr2011	Solar Mounting/Rack	San Jose  CA	CA	CA	USA	14	Solar Mounting/Rack	F24J	Y02E	H01L	F24J	Y02E	H01L	Bay_Area
pat0705	num-13/161 018	yr2011	Solar Inverter	New Castle  CO	CO	CO	USA	6	Solar Inverter	Y02E	Y02B	Y02E	H02J	Y02E	H02M	CO
pat0256	num-8209919	yr2012	Solar Mounting/Rack	Kolitzheim	N/A	N/A	Germany	14	Solar Mounting/Rack	F24J	Y02E	H01L	F24J	Y02E	H01L	germany
pat0219	num-8138411	yr2012	Solar Inverter	Dresden	N/A	N/A	Germany	0	Solar Inverter	Y02E	H01L		H02M	Y02E	H02J	germany
pat0348	num-11/764 804	yr2008	Solar Monitoring	San Mateo  CA	CA	CA	USA	3	Solar Monitoring	H01M	Y02E		H02J	Y02E	Y02B	Bay_Area
pat0543	num-12/803 913	yr2010	Solar Mounting/Rack	Grass Valley  CA	CA	CA	USA	4	Solar Mounting/Rack	F24J	Y02B		Y02B	H01L	Y02E	Other_CA
pat0119	num-7845128	yr2010	Solar Mounting/Rack	Alameda  CA	CA	CA	USA	4	Solar Mounting/Rack	H01L	Y02B	Y02E	Y02B	H01L	Y02E	Bay_Area
pat0374	num-12/085 918	yr2009	Solar Mounting/Rack	Coswig	N/A	N/A	Germany	13	Solar Mounting/Rack	F24J	Y02E	H01L	H01L	Y02E	F24J	germany
pat0014	num-7161082	yr2007	Solar Inverter	Tokyo	N/A	N/A	Japan	11	Solar Inverter	H01L	Y02E	G08B	Y02E	H02J	G05F	jp
pat0125	num-7858874	yr2010	Solar Mounting/Rack	Kensington  MD	MD	MD	USA	4	Solar Mounting/Rack	E04D	H01L	E04D	Y02B	H01L	Y02E	MD
pat0821	num-13/457 155	yr2012	Solar Inverter	Perrysburg  OH	OH	OH	USA	8	Solar Inverter				H01L	Y02E	Y02B	OH
pat0182	num-8024077	yr2011	Solar Monitoring	San Diego  CA	CA	CA	USA	5	Solar Monitoring	H02H	Y02E	G06Q	Y04S	G06Q	Y02E	SOCAL
pat0707	num-13/168 164	yr2012	Solar Mounting/Rack	St. Michael	N/A	N/A	Austria	12	Solar Mounting/Rack	Y02E	H01L	Y02B	Y02E	H01L	F24J	europe
pat0431	num-12/403 339	yr2010	Solar Monitoring	Santa Clara  CA	CA	CA	USA	6	Solar Inverter	Y02E	H01L	G05F	H02J	Y02E	H02M	Bay_Area
pat0439	num-12/450 001	yr2010	Solar Mounting/Rack	Westford  MA	USA	USA	USA	2	Solar Mounting/Rack	H01L	F24J	Y02B	F24J	Y02E	H01L	USA
