PatId	Year	OrigTechArea	city	state	state	country	topicId	ourTechArea	ourCPCnum1	ourCPCnum2	ourCPCnum3
pat0360	2011	Solar Inverter	Ottawa			Canada	2	Solar Inverter	H02J	Y02E	H02M
pat0221	2012	Solar Inverter	Niestetal			Germany	14	Solar Inverter	H02M	Y02E	Y02B
pat0538	2011	Solar Monitoring	Schenectady  NY	NY	NY	USA	11	Solar Monitoring	H04Q	Y04S	G01D
pat0375	2010	Solar Inverter	Narragansett  RI	RI	RI	USA	9	Solar Mounting/Rack	Y02E	H01L	F24J
pat0479	2011	Solar Inverter- Solar Monitoring	Bend  OR	OR	OR	USA	7	Solar Mounting/Rack	Y02B	H01L	Y02E
pat0630	2010	Solar Mounting/Rack	Brick  NJ	USA	USA	USA	10	Solar Mounting/Rack	F24J	Y02E	H01L
pat0057	2009	Solar Mounting/Rack-	Sharon Center  OH	OH	OH	USA	13	Solar Inverter	H01L	F05B	Y02E
pat0116	2010	Solar Inverter	Fort Collins  CO	CO	CO	USA	1	Solar Mounting/Rack	H01L	Y02E	F24J
pat0512	2008	Solar Monitoring	Denver  CO	CO	CO	USA	11	Solar Monitoring	H04Q	Y04S	G01D
pat0453	2011	Solar Inverter	Livermore  CA	CA	CA	USA	12	Solar Inverter	Y02E	H02J	H02M
pat0394	2003	Solar Inverter	Eindhoven			Netherlands	10	Solar Mounting/Rack	F24J	Y02E	H01L
pat0446	2011	Solar Inverter	Dallas  TX	TX	TX	USA	14	Solar Inverter	H02M	Y02E	Y02B
pat0381	2009	Solar Inverter	Roanoke  VA	VA	VA	USA	4	Solar Monitoring	H02J	Y02B	Y02E
pat0507	2008	Solar Monitoring	Hempstead  NY	NY	NY	USA	6	Solar Monitoring	G01R	Y04S	Y02B
pat0042	2008	Solar Inverter	Niskayuna  NY	NY	NY	USA	2	Solar Inverter	H02J	Y02E	H02M
pat0089	2010	Solar Inverter	Fort Collins  CO	CO	CO	USA	14	Solar Inverter	H02M	Y02E	Y02B
pat0491	2011	Solar Inverter- Solar Monitoring	Freiberg			Germany	14	Solar Inverter	H02M	Y02E	Y02B
pat0356	2011	Solar Inverter	Pittsboro  NC	NC	NC	USA	14	Solar Inverter	H02M	Y02E	Y02B
pat0613	2009	Solar Mounting/Rack	Morgan Hill  CA	CA	CA	USA	1	Solar Mounting/Rack	H01L	Y02E	F24J
pat0606	2009	Solar Mounting/Rack	Alameda  CA	USA	USA	USA	5	Solar Mounting/Rack	Y02E	H01L	Y02B
pat0080	2010	Solar Inverter- Solar Monitoring	Bend  OR	OR	OR	USA	14	Solar Inverter	H02M	Y02E	Y02B
pat0484	2010	Solar Inverter- Solar Monitoring	Marchtrenk			Austria	12	Solar Inverter	Y02E	H02J	H02M
pat0343	2008	Solar Inverter	Fort Collins  CO	CO	CO	USA	12	Solar Inverter	Y02E	H02J	H02M
pat0388	2011	Solar Inverter	Sharon  CA	CA	CA	USA	2	Solar Inverter	H02J	Y02E	H02M
pat0369	2007	Solar Inverter	Petaluma  CA	CA	CA	USA	0	Solar Inverter	Y02E	H02J	H02M
pat0465	2011	Solar Inverter	Westford  MA	MA	MA	USA	8	Solar Inverter	Y02E	H02J	G01R
