PatId	Patnum	Year	OrigTechArea	city	state	state	country	topicId	ourTechArea
pat0772	13/321 885	2012	Solar Inverter	Pontedera	N/A	N/A	Italy	3	Solar Monitoring
pat0622	12/977 001	2012	Solar Mounting/Rack	San Jose  CA	CA	CA	USA	2	Solar Mounting/Rack
pat0265	8226061	2012	Solar Mounting/Rack	Wayne  MI	MI	MI	USA	2	Solar Mounting/Rack
pat0528	12/776 185	2011	Solar Mounting/Rack	San Jose  CA	CA	CA	USA	2	Solar Mounting/Rack
pat0640	13/030 118	2012	Solar Inverter	Austin  TX	TX	TX	USA	6	Solar Inverter
pat0488	12/618 468	2010	Solar Mounting/Rack	Alameda  CA	CA	CA	USA	4	Solar Mounting/Rack
pat0471	12/567 169	2010	Solar Inverter	Los Gatos  CA	CA	CA	USA	3	Solar Monitoring
pat0440	12/453 348	2010	Solar Mounting/Rack	Montebello  VA	VA	VA	USA	12	Solar Mounting/Rack
pat0765	13/310 691	2012	Solar Inverter	Cambridge	N/A	N/A	Great Britain	6	Solar Inverter
pat0835	13/491 295	2012	Solar Mounting/Rack	Stuttgart	N/A	N/A	Germany	7	Solar Inverter
pat0030	7365266	2008	Solar Mounting/Rack	Auburn Hills  MI	MI	MI	USA	14	Solar Mounting/Rack
pat0236	8176693	2012	Solar Mounting/Rack	Marango  OH	OH	OH	USA	14	Solar Mounting/Rack
pat0527	12/772756	2011	Solar Mounting/Rack	San Jose  CA	CA	CA	USA	14	Solar Mounting/Rack
pat0705	13/161 018	2011	Solar Inverter	New Castle  CO	CO	CO	USA	6	Solar Inverter
pat0256	8209919	2012	Solar Mounting/Rack	Kolitzheim	N/A	N/A	Germany	14	Solar Mounting/Rack
pat0219	8138411	2012	Solar Inverter	Dresden	N/A	N/A	Germany	0	Solar Inverter
pat0348	11/764 804	2008	Solar Monitoring	San Mateo  CA	CA	CA	USA	3	Solar Monitoring
pat0543	12/803 913	2010	Solar Mounting/Rack	Grass Valley  CA	CA	CA	USA	4	Solar Mounting/Rack
pat0119	7845128	2010	Solar Mounting/Rack	Alameda  CA	CA	CA	USA	4	Solar Mounting/Rack
pat0374	12/085 918	2009	Solar Mounting/Rack	Coswig	N/A	N/A	Germany	13	Solar Mounting/Rack
pat0014	7161082	2007	Solar Inverter	Tokyo	N/A	N/A	Japan	11	Solar Inverter
pat0125	7858874	2010	Solar Mounting/Rack	Kensington  MD	MD	MD	USA	4	Solar Mounting/Rack
pat0821	13/457 155	2012	Solar Inverter	Perrysburg  OH	OH	OH	USA	8	Solar Inverter
pat0182	8024077	2011	Solar Monitoring	San Diego  CA	CA	CA	USA	5	Solar Monitoring
pat0707	13/168 164	2012	Solar Mounting/Rack	St. Michael	N/A	N/A	Austria	12	Solar Mounting/Rack
pat0431	12/403 339	2010	Solar Monitoring	Santa Clara  CA	CA	CA	USA	6	Solar Inverter
pat0439	12/450 001	2010	Solar Mounting/Rack	Westford  MA	USA	USA	USA	2	Solar Mounting/Rack
pat0562	12/857 778	2012	Solar Monitoring	Palatine  IL	IL	IL	USA	11	Solar Inverter
pat0520	12/745 345	2011	Solar Inverter	Sarriguren	N/A	N/A	Spain	0	Solar Inverter
pat0516	12/733 391	2010	Solar Monitoring	Pettenbach	N/A	N/A	Austria	6	Solar Inverter
pat0712	13/181 216	2012	Solar Inverter	Fort Collins  CO	CO	CO	USA	1	Site Assessment
