PatId	Patnum	Year	OrigTechArea	city	state	state	country	topicId	ourTechArea
pat0772	num-13/321 885	yr-2012	Solar Inverter	Pontedera	N/A	N/A	Italy	topic-3	Solar Monitoring
pat0622	num-12/977 001	yr-2012	Solar Mounting/Rack	San Jose  CA	CA	CA	USA	topic-2	Solar Mounting/Rack
pat0265	num-8226061	yr-2012	Solar Mounting/Rack	Wayne  MI	MI	MI	USA	topic-2	Solar Mounting/Rack
pat0528	num-12/776 185	yr-2011	Solar Mounting/Rack	San Jose  CA	CA	CA	USA	topic-2	Solar Mounting/Rack
pat0640	num-13/030 118	yr-2012	Solar Inverter	Austin  TX	TX	TX	USA	topic-6	Solar Inverter
pat0488	num-12/618 468	yr-2010	Solar Mounting/Rack	Alameda  CA	CA	CA	USA	topic-4	Solar Mounting/Rack
pat0471	num-12/567 169	yr-2010	Solar Inverter	Los Gatos  CA	CA	CA	USA	topic-3	Solar Monitoring
pat0440	num-12/453 348	yr-2010	Solar Mounting/Rack	Montebello  VA	VA	VA	USA	topic-12	Solar Mounting/Rack
pat0765	num-13/310 691	yr-2012	Solar Inverter	Cambridge	N/A	N/A	Great Britain	topic-6	Solar Inverter
pat0835	num-13/491 295	yr-2012	Solar Mounting/Rack	Stuttgart	N/A	N/A	Germany	topic-7	Solar Inverter
pat0030	num-7365266	yr-2008	Solar Mounting/Rack	Auburn Hills  MI	MI	MI	USA	topic-14	Solar Mounting/Rack
pat0236	num-8176693	yr-2012	Solar Mounting/Rack	Marango  OH	OH	OH	USA	topic-14	Solar Mounting/Rack
pat0527	num-12/772756	yr-2011	Solar Mounting/Rack	San Jose  CA	CA	CA	USA	topic-14	Solar Mounting/Rack
pat0705	num-13/161 018	yr-2011	Solar Inverter	New Castle  CO	CO	CO	USA	topic-6	Solar Inverter
pat0256	num-8209919	yr-2012	Solar Mounting/Rack	Kolitzheim	N/A	N/A	Germany	topic-14	Solar Mounting/Rack
pat0219	num-8138411	yr-2012	Solar Inverter	Dresden	N/A	N/A	Germany	topic-0	Solar Inverter
pat0348	num-11/764 804	yr-2008	Solar Monitoring	San Mateo  CA	CA	CA	USA	topic-3	Solar Monitoring
pat0543	num-12/803 913	yr-2010	Solar Mounting/Rack	Grass Valley  CA	CA	CA	USA	topic-4	Solar Mounting/Rack
pat0119	num-7845128	yr-2010	Solar Mounting/Rack	Alameda  CA	CA	CA	USA	topic-4	Solar Mounting/Rack
pat0374	num-12/085 918	yr-2009	Solar Mounting/Rack	Coswig	N/A	N/A	Germany	topic-13	Solar Mounting/Rack
pat0014	num-7161082	yr-2007	Solar Inverter	Tokyo	N/A	N/A	Japan	topic-11	Solar Inverter
pat0125	num-7858874	yr-2010	Solar Mounting/Rack	Kensington  MD	MD	MD	USA	topic-4	Solar Mounting/Rack
pat0821	num-13/457 155	yr-2012	Solar Inverter	Perrysburg  OH	OH	OH	USA	topic-8	Solar Inverter
pat0182	num-8024077	yr-2011	Solar Monitoring	San Diego  CA	CA	CA	USA	topic-5	Solar Monitoring
pat0707	num-13/168 164	yr-2012	Solar Mounting/Rack	St. Michael	N/A	N/A	Austria	topic-12	Solar Mounting/Rack
pat0431	num-12/403 339	yr-2010	Solar Monitoring	Santa Clara  CA	CA	CA	USA	topic-6	Solar Inverter
pat0439	num-12/450 001	yr-2010	Solar Mounting/Rack	Westford  MA	USA	USA	USA	topic-2	Solar Mounting/Rack
